P	Conc.	Hours	CFU1	CFU1	CFU1	Dilution	Cor.Mean
P9	1,25M	09:02:00	18	15	17	1,00E+03	1,67E+04
P9	1,5M	09:02:00	50	45	51	1,00E+02	4,87E+03
P9	2M	09:02:00	28	25	20	1,00E+02	2,43E+03
P9	3M	09:02:00	7	7	6	1,00E+02	6,67E+02
P9	4M	09:02:00	20	11	11	1,00E+01	1,40E+02
P10	0M	09:58:00	6	10	8	1,00E+06	8,00E+06
P10	0,25M	10:03:00	5	3	9	1,00E+06	5,67E+06
P10	0,5M	09:58:00	7	6	8	1,00E+06	7,00E+06
P10	0,75M	10:03:00	11	8	7	1,00E+04	8,67E+04
P10	1M	09:58:00	2	3	5	1,00E+04	3,33E+04
P10	1,25M	09:58:00	15	15	22	1,00E+03	1,73E+04
P10	1,5M	09:58:00	5	8	5	1,00E+03	6,00E+03
P10	2M	09:58:00	18	20	28	1,00E+02	2,20E+03
P10	3M	09:58:00	41	56	37	1,00E+01	4,47E+02
P10	4M	09:58:00	18	8	17	1,00E+01	1,43E+02
P11	0M	10:58:00	50	55	56	1,00E+05	5,37E+06
P11	0,25M	11:03:00	5	11	6	1,00E+06	7,33E+06
P11	0,5M	10:58:00	5	9	8	1,00E+06	7,33E+06
P11	0,75M	11:03:00	31	36	32	1,00E+05	3,30E+06
P11	1M	10:58:00	47	46	44	1,00E+03	4,57E+04
P11	1,25M	10:58:00	22	20	26	1,00E+03	2,27E+04
P11	1,5M	10:58:00	8	10	6	1,00E+03	8,00E+03
P11	2M	10:58:00	31	32	23	1,00E+02	2,87E+03
P11	3M	10:58:00	52	18		1,00E+01	3,50E+02
P11	4M	10:58:00	7	8	10	1,00E+01	8,33E+01
P12	0M	11:59:00	6	6	3	1,00E+06	5,00E+06
P12	0,25M	12:03:00	12	8	7	1,00E+06	9,00E+06
P12	0,5M	11:59:00	13	8	9	1,00E+06	1,00E+07
P12	0,75M	12:03:00	28	36	26	1,00E+05	3,00E+06
P12	1M	11:59:00	5	10	12	1,00E+04	9,00E+04
P12	1,25M	11:59:00	29	35	36	1,00E+03	3,33E+04
P12	1,5M	11:59:00	3	8	10	1,00E+03	7,00E+03
P12	2M	11:59:00	19	24	24	1,00E+02	2,23E+03
P12	3M	11:59:00	35	44	42	1,00E+01	4,03E+02
P12	4M	11:59:00	2	10	9	1,00E+01	7,00E+01
P13	0M	12:58:00	46	42	47	1,00E+05	4,50E+06
P13	0,25M	13:02:00	7	6	11	1,00E+06	8,00E+06
P13	0,5M	12:58:00	10	5	8	1,00E+06	7,67E+06
P13	0,75M	13:02:00	39	32	34	1,00E+05	3,50E+06
P13	1M	12:58:00	5	9	11	1,00E+04	8,33E+04
P13	1,25M	12:58:00	48	51	35	1,00E+03	4,47E+04
P13	1,5M	12:58:00	40	29	16	1,00E+02	2,83E+03
P13	2M	12:58:00	26	18		1,00E+02	2,20E+03
P13	3M	12:58:00	51	42	35	1,00E+01	4,27E+02
P13	4M	12:58:00	7	6	6	1,00E+01	6,33E+01
P14	0M	13:58:00	6	5	5	1,00E+06	5,33E+06
P14	0,25M	13:59:00	6	7	12	1,00E+06	8,33E+06
P14	0,5M	13:58:00	10	10	10	1,00E+06	1,00E+07
P14	0,75M	13:59:00	3	6	4	1,00E+06	4,33E+06
P14	1M	13:58:00	30	48	34	1,00E+04	3,73E+05
P14	1,25M	13:58:00	9	7	9	1,00E+04	8,33E+04
P14	1,5M	13:58:00	53	47	46	1,00E+02	4,87E+03
P14	2M	13:58:00	16	22	19	1,00E+02	1,90E+03
P14	3M	13:58:00	39	43	30	1,00E+01	3,73E+02
P14	4M	13:58:00	6	7		1,00E+01	6,50E+01
P15	0M	14:56:00	10	7	8	1,00E+06	8,33E+06
P15	0,25M	15:03:00	7	7	6	1,00E+06	6,67E+06
P15	0,5M	14:56:00	6	14	9	1,00E+06	9,67E+06
P15	0,75M	15:03:00	6	4	4	1,00E+06	4,67E+06
P15	1M	14:56:00	12	14	17	1,00E+05	1,43E+06
P15	1,25M	14:56:00	13	15	9	1,00E+04	1,23E+05
P15	1,5M	14:56:00	5	5	12	1,00E+03	7,33E+03
P15	2M	14:56:00	21	22	65	1,00E+02	3,60E+03
P15	3M	14:56:00	16	41	39	1,00E+01	3,20E+02
P15	4M	14:56:00	5	6	10	1,00E+01	7,00E+01
P16	0M	16:00:00	110	103	95	1,00E+05	1,03E+07
P16	0,25M	16:00:00	8	13	8	1,00E+06	9,67E+06
P16	0,5M	16:00:00	8	8	8	1,00E+06	8,00E+06
P16	0,75M	16:00:00	39	24	30	1,00E+05	3,10E+06
P16	1M	16:00:00	14	14	19	1,00E+05	1,57E+06
P16	1,25M	16:00:00	19	27	27	1,00E+04	2,43E+05
P16	1,5M	16:00:00	4	5	7	1,00E+03	5,33E+03
P16	2M	16:00:00	15	11	17	1,00E+02	1,43E+03
P16	3M	16:00:00	33	26		1,00E+01	2,95E+02
P16	4M	16:00:00	2	0	0	1,00E+01	6,67E+00
P17	0M	16:56:00	19	23	17	1,00E+06	1,97E+07
P17	0,25M	17:03:00	6	7	2	1,00E+06	5,00E+06
P17	0,5M	16:56:00	15	13	8	1,00E+06	1,20E+07
P17	0,75M	17:03:00	8	10	5	1,00E+06	7,67E+06
P17	1M	16:56:00	16	19	18	1,00E+05	1,77E+06
P17	1,25M	16:56:00	21	11	19	1,00E+04	1,70E+05
P17	1,5M	16:56:00	45	46	45	1,00E+02	4,53E+03
P17	2M	16:56:00	19	27	13	1,00E+02	1,97E+03
P17	3M	16:56:00	28	29		1,00E+01	2,85E+02
P17	4M	16:56:00	3	5		1,00E+01	4,00E+01
P18	0M	17:56:00	28	32	17	1,00E+06	2,57E+07
P18	0,25M	18:02:00	9	3	4	1,00E+06	5,33E+06
P18	0,5M	17:56:00	16	12	10	1,00E+06	1,27E+07
P18	0,75M	18:02:00	9	7	8	1,00E+06	8,00E+06
P18	1M	17:56:00	18	15	11	1,00E+05	1,47E+06
P18	1,25M	17:56:00	19	23	18	1,00E+04	2,00E+05
P18	1,5M	17:56:00	39	40	38	1,00E+02	3,90E+03
P18	2M	17:56:00	21	20	14	1,00E+02	1,83E+03
P18	3M	17:56:00	23	25	26	1,00E+01	2,47E+02
