P	Conc.	Hours	CFU1	CFU1	CFU1	Dilution	Cor.Mean
P18	1M	17:59:00	15	15	17	1,00E+05	1,57E+06
P18	1,25M	17:54:00	10	18	9	1,00E+04	1,23E+05
P18	1,5M	17:54:00	18	19	12	1,00E+02	1,63E+03
P18	2M	17:54:00	10	7	4	1,00E+02	7,00E+02
P18	3M	17:54:00	17	19	19	1,00E+01	1,83E+02
P18	4M	17:54:00	8	8	6	1,00E+01	7,33E+01
P19	0M	18:56:00	28	29	32	1,00E+06	2,97E+07
P19	0,25M	19:01:00	31	54	58	1,00E+05	4,77E+06
P19	0,5M	18:56:00	21	17	17	1,00E+06	1,83E+07
P19	0,75M	19:01:00	32	48	49	1,00E+05	4,30E+06
P19	1M	19:00:00	21	24	19	1,00E+05	2,13E+06
P19	1,25M	18:56:00	25	17	33	1,00E+04	2,50E+05
P19	1,5M	18:56:00	10	17	21	1,00E+02	1,60E+03
P19	2M	18:56:00	8	8	9	1,00E+02	8,33E+02
P19	3M	18:56:00	16	16	13	1,00E+01	1,50E+02
P19	4M	18:56:00	2	3	3	1,00E+01	2,67E+01
P20	0M	19:59:00	38	27	27	1,00E+06	3,07E+07
P20	0,25M	20:02:00	8	9	5	1,00E+06	7,33E+06
P20	0,5M	19:59:00	20	21	17	1,00E+06	1,93E+07
P20	0,75M	20:02:00	7	5	10	1,00E+06	7,33E+06
P20	1M	20:04:00	24	20	23	1,00E+05	2,23E+06
P20	1,25M	19:59:00	25	28	31	1,00E+04	2,80E+05
P20	1,5M	19:59:00	11	12	17	1,00E+02	1,33E+03
P20	2M	19:59:00	3	5	3	1,00E+02	3,67E+02
P20	3M	19:59:00	11	15	16	1,00E+01	1,40E+02
P20	4M	19:59:00	0	0	0	1,00E+01	0,00E+00
P21	0M	20:59:00	25	35	33	1,00E+06	3,10E+07
P21	0,25M	20:59:00	6	7	9	1,00E+06	7,33E+06
P21	0,5M	20:59:00	23	24	31	1,00E+06	2,60E+07
P21	0,75M	20:59:00	9	9	11	1,00E+06	9,67E+06
P21	1M	21:00:00	21	19	19	1,00E+05	1,97E+06
P21	1,25M	20:59:00	10	3	10	1,00E+05	7,67E+05
P21	1,5M	20:59:00	6	10	16	1,00E+02	1,07E+03
P21	2M	20:59:00	3	4	5	1,00E+02	4,00E+02
P21	3M	20:59:00	5	10	11	1,00E+01	8,67E+01
P21	4M	20:59:00	0	2	1	1,00E+01	1,00E+01
P22	0M	21:58:00	34	34	36	1,00E+06	3,47E+07
P22	0,25M	22:00:00	5	10	12	1,00E+06	9,00E+06
P22	0,5M	21:58:00	22	25	23	1,00E+06	2,33E+07
P22	0,75M	22:00:00	10	10	10	1,00E+06	1,00E+07
P22	1M	22:00:00	15	17	17	1,00E+05	1,63E+06
P22	1,25M	21:58:00	14	12	17	1,00E+05	1,43E+06
P22	1,5M	21:58:00	11	8	8	1,00E+02	9,00E+02
P22	2M	21:58:00	27	31		1,00E+01	2,90E+02
P22	3M	21:58:00	7	3	8	1,00E+01	6,00E+01
P22	4M	21:58:00	0	0	0	1,00E+01	0,00E+00
P23	0M	22:54:00	41	41	40	1,00E+06	4,07E+07
P23	0,25M	23:00:00	4	14	11	1,00E+06	9,67E+06
P23	0,5M	22:54:00	9	18	30	1,00E+06	1,90E+07
P23	0,75M	23:00:00	12	11	10	1,00E+06	1,10E+07
P23	1M	23:00:00	29	32	35	1,00E+05	3,20E+06
P23	1,25M	22:54:00	19	15	17	1,00E+05	1,70E+06
P23	1,5M	22:54:00	11	11	7	1,00E+02	9,67E+02
P23	2M	22:54:00	5	3	3	1,00E+02	3,67E+02
P23	3M	22:54:00	5	10	7	1,00E+01	7,33E+01
P23	4M	22:54:00	0	0	0	1,00E+01	0,00E+00
P24	0M	23:58:00	35	44	38	1,00E+06	3,90E+07
P24	0,25M	23:59:00	12	12	16	1,00E+06	1,33E+07
P24	0,5M	23:58:00	18	14	26	1,00E+06	1,93E+07
P24	0,75M	23:59:00	8	8	8	1,00E+06	8,00E+06
P24	1M	23:59:00	34	25	36	1,00E+05	3,17E+06
P24	1,25M	23:58:00	22	25	20	1,00E+05	2,23E+06
P24	1,5M	23:58:00	9	9	10	1,00E+02	9,33E+02
P24	2M	23:58:00	19	29		1,00E+01	2,40E+02
P24	3M	23:58:00	10	6	8	1,00E+01	8,00E+01
P24	4M	23:58:00	0	1	0	1,00E+01	3,33E+00
