P	Conc.	Hours	CFU1	CFU1	CFU1	Dilution	Cor.Mean
P0	0M	00:00:00	40	48	57	1,00E+02	4,83E+03
P0	0,25M	00:00:00	19	27	20	1,00E+03	2,20E+04
P0	0,5M	00:00:00	53	50	47	1,00E+02	5,00E+03
P0	0,75M	00:00:00	21	30	26	1,00E+03	2,57E+04
P0	1M	00:00:00	5	7	7	1,00E+03	6,33E+03
P0	1,25M	00:00:00	57	45		1,00E+02	5,10E+03
P0	1,5M	00:00:00	43	63	53	1,00E+02	5,30E+03
P0	2M	00:00:00	6	8	8	1,00E+03	7,33E+03
P0	3M	00:00:00	5	6	10	1,00E+03	7,00E+03
P0	4M	00:00:00	43	41	32	1,00E+02	3,87E+03
P1	0M	01:06:00	10	11	9	1,00E+03	1,00E+04
P1	0,25M	00:56:00	25	29	28	1,00E+03	2,73E+04
P1	0,5M	01:06:00	5	7	12	1,00E+03	8,00E+03
P1	0,75M 	00:56:00	20	36	32	1,00E+03	2,93E+04
P1	1M	01:04:00	8	8	7	1,00E+03	7,67E+03
P1	1,25M	01:06:00	6	3	13	1,00E+03	7,33E+03
P1	1,5M	01:06:00	50	49	51	1,00E+02	5,00E+03
P1	2M	01:06:00	6	5	4	1,00E+03	5,00E+03
P1	3M	01:06:00	25	33	44	1,00E+02	3,40E+03
P1	4M	01:06:00	21	26	25	1,00E+02	2,40E+03
P2	0M	02:05:00	2	3	3	1,00E+04	2,67E+04
P2	0,25M	02:08:00	49	43	39	1,00E+03	4,37E+04
P2	0,5M	02:05:00	16	19	8	1,00E+03	1,43E+04
P2	0,75M	02:08:00	20	29	27	1,00E+03	2,53E+04
P2	1M	02:02:00	3	7	7	1,00E+03	5,67E+03
P2	1,25M	02:05:00	6	4	6	1,00E+03	5,33E+03
P2	1,5M	02:05:00	3	9	2	1,00E+03	4,67E+03
P2	2M	02:05:00	33	24	30	1,00E+02	2,90E+03
P2	3M	02:05:00	21	14	32	1,00E+02	2,23E+03
P2	4M	02:05:00	3	9	11	1,00E+02	7,67E+02
P3	0M	02:58:00	50	48	55	1,00E+03	5,10E+04
P3	0,25M	03:03:00	8	9	8	1,00E+04	8,33E+04
P3	0,5M	02:58:00	5	6	6	1,00E+04	5,67E+04
P3	0,75M	03:03:00	32	30	28	1,00E+03	3,00E+04
P3	1M	03:00:00	5	5	4	1,00E+03	4,67E+03
P3	1,25M	02:58:00	8	7	8	1,00E+03	7,67E+03
P3	1,5M	02:58:00	4	7	2	1,00E+03	4,33E+03
P3	2M	02:58:00	2	3	4	1,00E+03	3,00E+03
P3	3M	02:58:00	12	22	17	1,00E+02	1,70E+03
P3	4M	02:58:00	12	14	6	1,00E+02	1,07E+03
P4	0M	04:03:00	72	52	60	1,00E+03	6,13E+04
P4	0,25M	04:05:00	40	29	52	1,00E+03	4,03E+04
P4	0,5M	04:03:00	24	26	16	1,00E+03	2,20E+04
P4	0,75M	04:05:00	36	39	41	1,00E+03	3,87E+04
P4	1M	04:03:00	8	5	8	1,00E+03	7,00E+03
P4	1,25M	04:03:00	9	6	4	1,00E+03	6,33E+03
P4	1,5M	04:03:00	28	23	30	1,00E+02	2,70E+03
P4	2M	04:03:00	21	14	16	1,00E+02	1,70E+03
P4	3M	04:03:00	17	18	21	1,00E+02	1,87E+03
P4	4M	04:03:00	13	6	3	1,00E+02	7,33E+02
P5	0M	05:01:00	20	26	15	1,00E+03	2,03E+04
P5	0,25M	05:05:00	63	65	57	1,00E+03	6,17E+04
P5	0,5M	05:01:00	6	12	13	1,00E+03	1,03E+04
P5	0,75M	05:05:00	58	62	66	1,00E+03	6,20E+04
P5	1M	05:02:00	6	10	7	1,00E+03	7,67E+03
P5	1,25M	05:01:00	8	8	9	1,00E+03	8,33E+03
P5	1,5M	05:01:00	24	29	30	1,00E+02	2,77E+03
P5	2M	05:01:00	15	17	22	1,00E+02	1,80E+03
P5	3M	05:01:00	11	11	11	1,00E+02	1,10E+03
P5	4M	05:01:00	41	41	50	1,00E+01	4,40E+02
P6	0M	06:02:00	51	43	34	1,00E+03	4,27E+04
P6	0,25M	06:05:00	66	56	54	1,00E+04	5,87E+05
P6	0,5M	06:02:00	11	2	9	1,00E+03	7,33E+03
P6	0,75M	06:05:00	65	76	75	1,00E+03	7,20E+04
P6	1M	06:06:00	14	8	11	1,00E+03	1,10E+04
P6	1,25M	06:02:00	7	12	9	1,00E+03	9,33E+03
P6	1,5M	06:02:00	34	30	26	1,00E+02	3,00E+03
P6	2M	06:02:00	13	19	14	1,00E+02	1,53E+03
P6	3M	06:02:00	8	12	10	1,00E+02	1,00E+03
P6	4M	06:02:00	4	3	8	1,00E+02	5,00E+02
P7	0M	06:59:00	12	7	13	1,00E+05	1,07E+06
P7	0,25M	07:06:00	43	49	43	1,00E+05	4,50E+06
P7	0,5M	06:59:00	9	13	17	1,00E+04	1,30E+05
P7	0,75M	07:06:00	17	27	29	1,00E+04	2,43E+05
P7	1M	07:02:00	14	11	7	1,00E+03	1,07E+04
P7	1,25M	06:59:00	21	11	8	1,00E+03	1,33E+04
P7	1,5M	06:59:00	18	21	28	1,00E+02	2,23E+03
P7	2M	06:59:00	17	17	12	1,00E+02	1,53E+03
P7	3M	06:59:00	61	62	54	1,00E+01	5,90E+02
P7	4M	06:59:00	33	37	45	1,00E+01	3,83E+02
P8	0M	08:01:00	11	4	12	1,00E+06	9,00E+06
P8	0,25M	08:05:00	67	83	66	1,00E+05	7,20E+06
P8	0,5M	08:01:00	36	31	40	1,00E+05	3,57E+06
P8	0,75M	08:05:00	11	29	24	1,00E+04	2,13E+05
P8	1M	08:00:00	16	13	21	1,00E+03	1,67E+04
P8	1,25M	08:01:00	7	12	11	1,00E+03	1,00E+04
P8	1,5M	08:01:00	20	34	20	1,00E+02	2,47E+03
P8	2M	08:01:00	23	13	15	1,00E+02	1,70E+03
P8	3M	08:01:00	19	9	5	1,00E+02	1,10E+03
P8	4M	08:01:00	6	3	3	1,00E+02	4,00E+02
P9	0M	09:05:00	61	65	47	1,00E+05	5,77E+06
P9	0,25M	09:05:00	11	7	7	1,00E+06	8,33E+06
P9	0,5M	09:05:00	49	49	29	1,00E+05	4,23E+06
P9	0,75M	09:05:00	19	12	24	1,00E+04	1,83E+05
P9	1M	09:02:00	10	10	18	1,00E+03	1,27E+04
P9	1,25M	09:05:00	10	10	13	1,00E+03	1,10E+04
P9	1,5M	09:05:00	17	23	23	1,00E+02	2,10E+03
P9	2M	09:05:00	13	11	10	1,00E+02	1,13E+03
P9	3M	09:05:00	8	9	8	1,00E+02	8,33E+02
P9	4M	09:05:00	29	26	28	1,00E+01	2,77E+02
P10	0M	09:56:00	5	11	8	1,00E+06	8,00E+06
P10	0,25M	10:03:00	3	10	11	1,00E+06	8,00E+06
P10	0,5M	09:56:00	11	8	7	1,00E+06	8,67E+06
P10	0,75M	10:03:00	19	16	9	1,00E+05	1,47E+06
P10	1M	10:03:00	18	7	13	1,00E+03	1,27E+04
P10	1,25M	09:56:00	11	10	19	1,00E+03	1,33E+04
P10	1,5M	09:56:00	20	19	16	1,00E+02	1,83E+03
P10	2M	09:56:00	18	12	11	1,00E+02	1,37E+03
P10	3M	09:56:00	10	4	10	1,00E+02	8,00E+02
P10	4M	09:56:00	22	22	22	1,00E+01	2,20E+02
P11	0M	10:57:00	9	8	8	1,00E+06	8,33E+06
P11	0,25M	11:03:00	7	9	13	1,00E+06	9,67E+06
P11	0,5M	10:57:00	9	9	7	1,00E+06	8,33E+06
P11	0,75M 	11:03:00	29	27	34	1,00E+05	3,00E+06
P11	1M	11:00:00	7	20	17	1,00E+03	1,47E+04
P11	1,25M	10:57:00	15	17	15	1,00E+03	1,57E+04
P11	1,5M	10:57:00	12	17	20	1,00E+02	1,63E+03
P11	2M	10:57:00	12	6	10	1,00E+02	9,33E+02
P11	3M	10:57:00	44	50	53	1,00E+01	4,90E+02
P11	4M	10:57:00	27	24	20	1,00E+01	2,37E+02
P12	0M	12:02:00	4	8	6	1,00E+06	6,00E+06
P12	0,25M	12:03:00	10	12	10	1,00E+06	1,07E+07
P12	0,5M	12:02:00	8	11	9	1,00E+06	9,33E+06
P12	0,75M	12:03:00	31	31	30	1,00E+05	3,07E+06
P12	1M	12:03:00	15	16	21	1,00E+03	1,73E+04
P12	1,25M	12:02:00	19	24	30	1,00E+03	2,43E+04
P12	1,5M	12:02:00	25	23	16	1,00E+02	2,13E+03
P12	2M	12:02:00	14	12	8	1,00E+02	1,13E+03
P12	3M	12:02:00	40	47	42	1,00E+01	4,30E+02
P12	4M	12:02:00	25	14	16	1,00E+01	1,83E+02
P13	0M	13:03:00	11	9	5	1,00E+06	8,33E+06
P13	0,25M	13:02:00	12	8	5	1,00E+06	8,33E+06
P13	0,5M	13:03:00					
P13	0,75M	13:02:00	39	26	31	1,00E+05	3,20E+06
P13	1M	13:00:00	2	4	8	1,00E+04	4,67E+04
P13	1,25M	13:03:00	33	27	29	1,00E+03	2,97E+04
P13	1,5M	13:03:00	17	21	19	1,00E+02	1,90E+03
P13	2M	13:03:00	10	9	11	1,00E+02	1,00E+03
P13	3M	13:03:00	7	11	6	1,00E+02	8,00E+02
P13	4M	13:03:00	20	17	20	1,00E+01	1,90E+02
P14	0M	14:00:00	7	9	10	1,00E+06	8,67E+06
P14	0,25M	13:59:00	2	13	11	1,00E+06	8,67E+06
P14	0,5M	14:00:00	7	9	11	1,00E+06	9,00E+06
P14	0,75M	13:59:00	7	5	3	1,00E+06	5,00E+06
P14	1M	14:00:00	6	6	6	1,00E+04	6,00E+04
P14	1,25M	14:00:00	6	8	8	1,00E+04	7,33E+04
P14	1,5M	14:00:00	13	17	15	1,00E+02	1,50E+03
P14	2M	14:00:00	16	8	9	1,00E+02	1,10E+03
P14	3M	14:00:00	36	37	42	1,00E+01	3,83E+02
P14	4M	14:00:00	14	13	11	1,00E+01	1,27E+02
P15	0M	14:59:00	9	6	6	1,00E+06	7,00E+06
P15	0,25M	15:03:00	7	8	7	1,00E+06	7,33E+06
P15	0,5M	14:59:00	8	9	7	1,00E+06	8,00E+06
P15	0,75M	15:03:00	2	3	5	1,00E+06	3,33E+06
P15	1M	15:04:00	12	6	14	1,00E+04	1,07E+05
P15	1,25M	14:59:00	7	8	5	1,00E+04	6,67E+04
P15	1,5M	14:59:00	17	13	18	1,00E+02	1,60E+03
P15	2M	14:59:00	3	12	7	1,00E+02	7,33E+02
P15	3M	14:59:00	26	33	33	1,00E+01	3,07E+02
P15	4M	14:59:00	13	14	10	1,00E+01	1,23E+02
P16	0M	15:55:00	7	6	10	1,00E+06	7,67E+06
P16	0,25M	16:00:00	9	12	7	1,00E+06	9,33E+06
P16	0,5M	15:55:00	9	4	7	1,00E+06	6,67E+06
P16	0,75M	16:00:00	4	5	7	1,00E+06	5,33E+06
P16	1M	16:04:00	12	9	8	1,00E+05	9,67E+05
P16	1,25M	15:55:00	6	12	9	1,00E+04	9,00E+04
P16	1,5M	15:55:00	12	12	12	1,00E+02	1,20E+03
P16	2M	15:55:00	7	8	6	1,00E+02	7,00E+02
P16	3M	15:55:00	19	35	23	1,00E+01	2,57E+02
P16	4M	15:55:00	6	7	5	1,00E+01	6,00E+01
P17	0M	17:06:00	12	8	17	1,00E+06	1,23E+07
P17	0,25M	17:03:00	9	6	7	1,00E+06	7,33E+06
P17	0,5M	17:06:00	10	8	11	1,00E+06	9,67E+06
P17	0,75M	17:03:00	8	2	10	1,00E+06	6,67E+06
P17	1M	16:59:00	20	19	15	1,00E+05	1,80E+06
P17	1,25M	17:06:00	20	11	18	1,00E+04	1,63E+05
P17	1,5M	17:06:00	13	13	12	1,00E+02	1,27E+03
P17	2M	17:06:00	9	7	9	1,00E+02	8,33E+02
P17	3M	17:06:00	24	21	18	1,00E+01	2,10E+02
P17	4M	17:06:00	0	2	6	1,00E+01	2,67E+01
P18	0M	17:54:00	18	18	21	1,00E+06	1,90E+07
P18	0,25M	18:02:00	11	17	5	1,00E+06	1,10E+07
P18	0,5M	17:54:00	15	12	14	1,00E+06	1,37E+07
P18	0,75M	18:02:00	7	7	3	1,00E+06	5,67E+06
