"Espécie" "Domínio" "Mínimo.opt" "Máximo.opt" "Classificação" "Sal.é.NaCl." "Unidade"
"383" "Flavobacterium gillisiae" "B" 0 0 "No Class" "s" "m"
"385" "Haladaptatus paucihalophilus" "A" 2.6 3.1 "No Class" "s" "m"
"386" "Halococcus qingdaonensis" "A" 3.06 3.06 "No Class" "s" "m"
"387" "Aquibacillus elongatus" "B" 1.71 1.71 "No Class" "s" "m"
"389" "Alkalispirochaeta americana" "B" 0.51 0.51 "No Class" "s" "m"
"390" "Halorubrum persicum" "A" 3.42 3.42 "No Class" "s" "m"
"391" "Haloterrigena thermotolerans" "A" 3 3.5 "No Class" "s" "m"
"392" "Chromohalobacter marismortui" "B" 1.712 1.712 "No Class" "s" "m"
"393" "Salimicrobium album" "B" 1.712 1.712 "No Class" "s" "m"
"394" "Nocardiopsis kunsanensis" "B" 1.712 1.712 "No Class" "s" "m"
"395" "Halorubrum distributum" "A" 3.42231348391513 4.27789185489391 "Extreme" "s" "p"
"396" "Natronolimnohabitans innermongolicus" "A" 3.5 3.5 "Extreme" "s" "m"
"397" "Micrococcus halobius" "B" 1 2 "Moderate" "s" "m"
"398" "Lentibacillus halophilus" "B" 3.42231348391513 4.44900752908966 "Extreme" "s" "p"
"399" "Halococcus thailandensis" "A" 3.42231348391513 5.13347022587269 "Extreme" "s" "p"
"400" "Halalkalicoccus jeotgali" "A" 2.56673511293635 2.56673511293635 "Extreme" "s" "p"
"401" "Haladaptatus cibarius" "A" 2.56673511293635 2.56673511293635 "Extreme" "s" "p"
"403" "Halostagnicola kamekurae" "A" 2.56673511293635 2.56673511293635 "Extreme" "s" "p"
"404" "Natronomonas moolapensis" "A" 3.08008213552361 3.42231348391513 "Extreme" "s" "p"
"405" "Haloarcula salaria" "A" 3.42231348391513 4.27789185489391 "Extreme" "s" "p"
"406" "Haloarcula tradensis" "A" 3.42231348391513 4.27789185489391 "Extreme" "s" "p"
"407" "Halobellus clavatus" "A" 2.56673511293635 2.56673511293635 "Extreme" "s" "p"
"408" "Halorientalis regularis" "A" 3.08008213552361 3.42231348391513 "Extreme" "s" "p"
"409" "Haloarchaeobius iranensis" "A" 0.598904859685147 0.598904859685147 "Extreme" "s" "p"
"410" "Actinopolyspora lacussalsi" "B" 2.05338809034908 2.05338809034908 "Extreme" "s" "p"
"411" "Halanaerobium sehlinense" "B" 3.42231348391513 3.42231348391513 "Extreme" "s" "p"
"412" "Halobaculum magnesiiphilum" "A" 1.54004106776181 2.05338809034908 "Extreme" "s" "p"
"413" "Halomicroarcula pellucida" "A" 4.27789185489391 4.27789185489391 "Extreme" "s" "p"
"414" "Halopelagius fulvigenes" "A" 3.42231348391513 4.27789185489391 "Extreme" "s" "p"
"415" "Sporohalobacter salinus" "B" 3.42231348391513 3.42231348391513 "Extreme" "s" "p"
"417" "Halocalculus aciditolerans" "A" 2.56673511293635 3.08008213552361 "Extreme" "s" "p"
"418" "Halococcus agarilyticus" "A" 4.62012320328542 4.62012320328542 "Extreme" "s" "p"
"419" "Halolamina sediminis" "A" 3.42231348391513 4.27789185489391 "Extreme" "s" "p"
"420" "Halorubrum persicum" "A" 3.42231348391513 3.42231348391513 "Extreme" "s" "p"
"421" "Halostagnicola bangensis" "A" 4.27789185489391 4.27789185489391 "Extreme" "s" "p"
"423" "Halorubrum halodurans" "A" 4.27789185489391 4.27789185489391 "Extreme" "s" "p"
"424" "Halostella salina" "A" 3.42231348391513 3.42231348391513 "Extreme" "s" "p"
"425" "Haloactinomyces albus" "B" 3.42231348391513 3.42231348391513 "Extreme" "s" "p"
"426" "Halobaculum roseum" "A" 3.42231348391513 3.42231348391513 "Extreme" "s" "p"
"427" "Halorubrum trueperi" "A" 3.42231348391513 3.42231348391513 "Extreme" "s" "p"
"428" "Salinifilum proteinilyticum" "B" 2.56673511293635 3.42231348391513 "Extreme" "s" "p"
"429" "Saliphagus infecundisoli" "A" 3.42231348391513 3.42231348391513 "Extreme" "s" "p"
"430" "Halorubrum aethiopicum" "A" 3.42231348391513 4.27789185489391 "Extreme" "s" "p"
"432" "Halorientalis pallida" "A" 4.27789185489391 4.27789185489391 "Extreme" "s" "p"
"435" "Psychrobacter alimentarius" "B" 0.342231348391513 0.513347022587269 "Moderate" "s" "p"
"437" "Oceanobacillus oncorhynchi" "B" 1.19780971937029 1.71115674195756 "Moderate" "s" "p"
"440" "Chromohalobacter japonicus" "B" 1.28336755646817 2.13894592744695 "Moderate" "s" "p"
"441" "Salinicoccus kunmingensis" "B" 1.36892539356605 1.71115674195756 "Moderate" "s" "p"
"442" "Halomonas kribbensis" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"443" "Salinicoccus siamensis" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"444" "Desulfovibrio marinus" "B" 0.427789185489391 0.855578370978782 "Moderate" "s" "p"
"445" "Terribacillus goriensis" "B" 0 0.342231348391513 "Moderate" "s" "p"
"447" "Salinimicrobium catena" "B" 0.171115674195756 0.684462696783025 "Moderate" "s" "p"
"448" "Alkalibacillus silvisoli" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"449" "Marinobacter segnicrescens " "B" 0.684462696783025 1.36892539356605 "Moderate" "s" "p"
"451" "Modicisalibacter tunisiensis" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"452" "Salimicrobium luteum" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"453" "Kushneria avicenniae" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"454" "Marinobacter salsuginis " "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"455" "Halomonas gudaonensis" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"456" "Halomonas shengliensis" "B" 0.855578370978782 2.56673511293635 "Moderate" "s" "p"
"457" "Salinicola halophilus" "B" 1.28336755646817 1.71115674195756 "Moderate" "s" "p"
"458" "Salinicoccus luteus" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"459" "Halalkalibacillus halophilus" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"460" "Halomonas saccharevitans" "B" 0.513347022587269 1.28336755646817 "Moderate" "s" "p"
"461" "Kushneria indalinina" "B" 1.28336755646817 1.71115674195756 "Moderate" "s" "p"
"462" "Halobacillus profundi" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"463" "Halobacillus kuroshimensis" "B" 1.02669404517454 1.02669404517454 "Moderate" "s" "p"
"464" "Lentibacillus halodurans" "B" 1.36892539356605 2.05338809034908 "Moderate" "s" "p"
"465" "Piscibacillus salipiscarius" "B" 1.71115674195756 3.42231348391513 "Moderate" "s" "p"
"466" "Salinicoccus jeotgali" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"467" "Lentibacillus kapialis" "B" 2.56673511293635 2.56673511293635 "Moderate" "s" "p"
"468" "Sediminibacillus halophilus" "B" 0.855578370978782 1.28336755646817 "Moderate" "s" "p"
"469" "Marinobacter pelagius" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"470" "Halopseudomonas xiamenensis" "B" 0.171115674195756 0.513347022587269 "Moderate" "s" "p"
"471" "Microbulbifer halophilus" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"472" "Haloactinospora alba" "B" 2.56673511293635 2.56673511293635 "Moderate" "s" "p"
"473" "Halomonas lutea" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p"
"474" "Halolactibacillus alkaliphilus" "B" 0.427789185489391 0.427789185489391 "Moderate" "s" "p"
"475" "Virgibacillus salarius" "B" 1.19780971937029 1.71115674195756 "Moderate" "s" "p"
"478" "Marinobacter mobilis" "B" 0.513347022587269 0.855578370978782 "Moderate" "s" "p"
"479" "Bacillus aidingensis" "B" 2.05338809034908 2.05338809034908 "Moderate" "s" "p"
"480" "Halomonas daqingensis" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p"
"481" "Oceanobacillus caeni" "B" 0.342231348391513 0.855578370978782 "Moderate" "s" "p"
"482" "Nesterenkonia halophila" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"484" "Salinimicrobium xinjiangense" "B" 0.342231348391513 0.513347022587269 "Moderate" "s" "p"
"485" "Salinicoccus halodurans" "B" 1.36892539356605 1.36892539356605 "Moderate" "s" "p"
"486" "Bacillus aurantiacus" "B" 0.513347022587269 1.19780971937029 "Moderate" "s" "p"
"487" "Bacillus coahuilensis" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"488" "Salinicoccus iranensis" "B" 1.28336755646817 1.71115674195756 "Moderate" "s" "p"
"489" "Salinivibrio proteolyticus" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"490" "Halomonas cerina" "B" 1.28336755646817 1.71115674195756 "Moderate" "s" "p"
"491" "Saccharomonospora saliphila" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"492" "Halobacillus seohaensis" "B" 1.36892539356605 1.36892539356605 "Moderate" "s" "p"
"493" "Albimonas donghaensis" "B" 0.342231348391513 0.855578370978782 "Moderate" "s" "p"
"495" "Halomonas sabkhae" "B" 1.28336755646817 1.28336755646817 "Moderate" "s" "p"
"496" "Lentibacillus salinarum" "B" 1.71115674195756 2.05338809034908 "Moderate" "s" "p"
"497" "Aquisalibacillus elongatus" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"498" "Sediminibacillus albus" "B" 1.19780971937029 1.19780971937029 "Moderate" "s" "p"
"499" "Alcanivorax hongdengensis" "B" 0.513347022587269 1.36892539356605 "Moderate" "s" "p"
"500" "Oceanicola pacificus" "B" 0.171115674195756 0.684462696783025 "Moderate" "s" "p"
"501" "Marinobacter lacisalsi" "B" 1.28336755646817 1.28336755646817 "Moderate" "s" "p"
"502" "Piscibacillus halophilus" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"503" "Halomonas ilicicola" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"504" "Alteribacillus persepolensis" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"505" "Virgibacillus salinus" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"506" "Salinivibrio siamensis" "B" 1.54004106776181 1.71115674195756 "Moderate" "s" "p"
"507" "Salinicoccus albus" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"510" "Saccharospirillum salsuginis" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"511" "Lishizhenia tianjinensis" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"513" "Paraliobacillus quinghaiensis" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"514" "Halomonas fontilapidosi" "B" 0.855578370978782 1.28336755646817 "Moderate" "s" "p"
"515" "Marinobacter santoriniensis" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p"
"516" "Ectothiorhodospira variabilis" "B" 0.855578370978782 1.36892539356605 "Moderate" "s" "p"
"517" "Oceanibaculum indicum" "B" 0.0855578370978782 1.19780971937029 "Moderate" "s" "p"
"518" "Prauserella salsuginis" "B" 1.36892539356605 1.71115674195756 "Moderate" "s" "p"
"519" "Prauserella flava" "B" 1.36892539356605 1.71115674195756 "Moderate" "s" "p"
"520" "Prauserella aidingensis" "B" 1.36892539356605 1.71115674195756 "Moderate" "s" "p"
"521" "Prauserella sediminis" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"522" "Oceanobacillus kapialis" "B" 1.02669404517454 2.39561943874059 "Moderate" "s" "p"
"523" "Virgibacillus arcticus" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"524" "Thalassobacillus cyri" "B" 1.36892539356605 1.36892539356605 "Moderate" "s" "p"
"525" "Kushneria aurantia" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"526" "Saccharopolyspora qijiaojingensis" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"527" "Paracoccus saliphilus" "B" 1.36892539356605 1.36892539356605 "Moderate" "s" "p"
"528" "Saccharopolyspora halophila" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"529" "Nautella italica" "B" 0.342231348391513 0.513347022587269 "Moderate" "s" "p"
"530" "Alkaliphilus halophilus" "B" 1.28336755646817 1.28336755646817 "Moderate" "s" "p"
"531" "Amorphus orientalis" "B" 0.513347022587269 1.36892539356605 "Moderate" "s" "p"
"532" "Geomicrobium halophilum" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"533" "Gracilibacillus thailandensis" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p"
"534" "Halarchaeum acidiphilum" "A" 3.59342915811088 4.10677618069815 "Moderate" "s" "p"
"535" "Haloactinobacterium album" "B" 1.19780971937029 1.71115674195756 "Moderate" "s" "p"
"536" "Halomonas andesensis" "B" 0.171115674195756 0.513347022587269 "Moderate" "s" "p"
"537" "Halomonas titanicae" "B" 0.342231348391513 1.36892539356605 "Moderate" "s" "p"
"538" "Hwanghaeicola aestuarii" "B" 0.342231348391513 0.513347022587269 "Moderate" "s" "p"
"539" "Lentibacillus jeotgali" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"541" "Oceanobacillus locisalsi" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p"
"542" "Pontibacillus litoralis" "B" 0.342231348391513 0.855578370978782 "Moderate" "s" "p"
"543" "Salinicoccus carnicancri" "B" 2.05338809034908 2.05338809034908 "Moderate" "s" "p"
"544" "Salinisphaera dokdonensis" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"545" "Terribacillus aidingensis" "B" 0.513347022587269 1.19780971937029 "Moderate" "s" "p"
"546" "Virgibacillus subterraneus" "B" 1.54004106776181 1.54004106776181 "Moderate" "s" "p"
"547" "Pontibacillus yanchengensis" "B" 1.02669404517454 1.36892539356605 "Moderate" "s" "p"
"548" "Isoalcanivorax pacificus" "B" 0.513347022587269 0.855578370978782 "Moderate" "s" "p"
"549" "Bacillus alkalisediminis" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"550" "Bacillus hemicentroti" "B" 0.855578370978782 1.36892539356605 "Moderate" "s" "p"
"551" "Cellulomonas phragmiteti" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"552" "Citreicella aestuarii" "B" 0.342231348391513 0.684462696783025 "Moderate" "s" "p"
"553" "Haloactinopolyspora alba" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"554" "Halomonas daqiaonensis" "B" 1.19780971937029 1.36892539356605 "Moderate" "s" "p"
"556" "Halomonas stenophila" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p"
"557" "Halomonas vilamensis" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p"
"558" "Marinobacter daqiaonensis" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p"
"559" "Marinobacter oulmenensis" "B" 0.855578370978782 1.28336755646817 "Moderate" "s" "p"
"560" "Roseicitreum antarcticum" "B" 1.19780971937029 1.36892539356605 "Moderate" "s" "p"
"561" "Serinicoccus chungangensis" "B" 2.22450376454483 2.22450376454483 "Moderate" "s" "p"
"562" "Serinicoccus profundi" "B" 0.513347022587269 0.855578370978782 "Moderate" "s" "p"
"563" "Streptohalobacillus salinus" "B" 1.19780971937029 1.19780971937029 "Moderate" "s" "p"
"564" "Thalassobacillus pellis" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"565" "Thioprofundum hispidum" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"566" "Alteribacillus bidgolensis" "B" 0.855578370978782 1.28336755646817 "Moderate" "s" "p"
"567" "Alteribacillus iranensis" "B" 0.855578370978782 1.28336755646817 "Moderate" "s" "p"
"568" "Desulfobaculum xiamenensis" "B" 0.0855578370978782 0.0855578370978782 "Moderate" "s" "p"
"569" "Fodinibius salinus" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"570" "Gracilibacillus bigeumensis" "B" 1.19780971937029 1.19780971937029 "Moderate" "s" "p"
"571" "Gracilibacillus kekensis" "B" 0.513347022587269 0.513347022587269 "Moderate" "s" "p"
"572" "Halanaerobacter jeridensis" "B" 2.56673511293635 2.56673511293635 "Moderate" "s" "p"
"573" "Halomonas ramblicola" "B" 0.855578370978782 1.28336755646817 "Moderate" "s" "p"
"575" "Mangroviflexus xiamenensis" "B" 0.0855578370978782 0.171115674195756 "Moderate" "s" "p"
"576" "Natribacillus halophilus" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"577" "Psychroflexus halocasei" "B" 1.02669404517454 1.36892539356605 "Moderate" "s" "p"
"578" "Roseivivax sediminis" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p"
"579" "Salinactinospora qingdaonensis" "B" 1.54004106776181 2.05338809034908 "Moderate" "s" "p"
"580" "Salinicoccus qingdaonensis" "B" 0.513347022587269 0.513347022587269 "Moderate" "s" "p"
"581" "Salinisphaera halophila" "B" 2.39561943874059 3.25119780971937 "Moderate" "s" "p"
"582" "Salinisphaera orenii" "B" 2.56673511293635 2.90896646132786 "Moderate" "s" "p"
"583" "Saliterribacillus persicus" "B" 1.28336755646817 1.28336755646817 "Moderate" "s" "p"
"584" "Aliifodinibius roseus" "B" 1.02669404517454 1.71115674195756 "Moderate" "s" "p"
"585" "Aliifodinibius sediminis" "B" 1.02669404517454 1.71115674195756 "Moderate" "s" "p"
"586" "Bacillus halosaccharovorans" "B" 0.855578370978782 2.56673511293635 "Moderate" "s" "p"
"587" "Celerinatantimonas yamalensis " "B" 1.02669404517454 1.36892539356605 "Moderate" "s" "p"
"588" "Defluviimonas aestuarii" "B" 0.171115674195756 0.256673511293635 "Moderate" "s" "p"
"589" "Fabibacter pacificus" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"590" "Galbibacter marinus" "B" 0.171115674195756 0.513347022587269 "Moderate" "s" "p"
"591" "Gracilimonas mengyeensis" "B" 0.855578370978782 1.54004106776181 "Moderate" "s" "p"
"592" "Halarchaeum nitratireducens" "A" 3.59342915811088 3.59342915811088 "Moderate" "s" "p"
"593" "Halarchaeum rubridurum" "A" 3.08008213552361 3.08008213552361 "Moderate" "s" "p"
"594" "Halarchaeum salinum" "A" 3.08008213552361 3.08008213552361 "Moderate" "s" "p"
"595" "Halomonas smyrnensis" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"596" "Halomonas zincidurans" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"597" "Marinococcus tarijensis" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"599" "Muricauda taeanensis" "B" 0.342231348391513 0.684462696783025 "Moderate" "s" "p"
"600" "Nesterenkonia suensis" "B" 0.427789185489391 0.427789185489391 "Moderate" "s" "p"
"601" "Ornithinibacillus halophilus" "B" 0.855578370978782 1.28336755646817 "Moderate" "s" "p"
"602" "Phaeocystidibacter luteus" "B" 0.342231348391513 0.855578370978782 "Moderate" "s" "p"
"603" "Roseovarius lutimaris" "B" 0.342231348391513 0.684462696783025 "Moderate" "s" "p"
"604" "Salinisphaera japonica" "B" 1.28336755646817 1.71115674195756 "Moderate" "s" "p"
"605" "Sinobacterium caligoides" "B" 0.342231348391513 0.770020533880904 "Moderate" "s" "p"
"606" "Aquibacillus halophilus" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"607" "Aliicoccus persicus" "B" 1.28336755646817 1.28336755646817 "Moderate" "s" "p"
"609" "Aquisalimonas halophila" "B" 1.71115674195756 1.88227241615332 "Moderate" "s" "p"
"611" "Mariniphaga anaerophila" "B" 0.171115674195756 0.342231348391513 "Moderate" "s" "p"
"612" "Glycocaulis albus" "B" 0.171115674195756 0.513347022587269 "Moderate" "s" "p"
"613" "Halomonas huangheensis" "B" 1.19780971937029 1.71115674195756 "Moderate" "s" "p"
"614" "Halomonas olivaria" "B" 1.19780971937029 1.19780971937029 "Moderate" "s" "p"
"615" "Halomonas songnenensis" "B" 0.684462696783025 0.684462696783025 "Moderate" "s" "p"
"616" "Oceanicola antarcticus" "B" 0.0855578370978782 0.513347022587269 "Moderate" "s" "p"
"617" "Oceanicola flagellatus" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"618" "Oceanobacillus limi" "B" 1.28336755646817 1.28336755646817 "Moderate" "s" "p"
"619" "Oceanobacillus pacificus" "B" 0.684462696783025 0.684462696783025 "Moderate" "s" "p"
"621" "Actinoalloteichus hoggarensis" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"623" "Bacillus rigiliprofundi" "B" 0.855578370978782 1.02669404517454 "Moderate" "s" "p"
"624" "Bacillus wuyishanensis" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"625" "Celeribacter naphthalenivorans" "B" 0.342231348391513 0.513347022587269 "Moderate" "s" "p"
"626" "Confluentimicrobium naphthalenivorans" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"628" "Garicola koreensis" "B" 1.02669404517454 1.02669404517454 "Moderate" "s" "p"
"629" "Gynuella sunshinyii" "B" 0.171115674195756 0.684462696783025 "Moderate" "s" "p"
"630" "Halobacillus andaensis" "B" 1.36892539356605 1.36892539356605 "Moderate" "s" "p"
"631" "Halobacillus sediminis" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"632" "Idiomarina aquatica" "B" 1.28336755646817 1.28336755646817 "Moderate" "s" "p"
"633" "Limibacillus halophilus" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"634" "Melghiribacillus thermohalophilus" "B" 1.19780971937029 1.71115674195756 "Moderate" "s" "p"
"635" "Nesterenkonia populi" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p"
"636" "Nocardiopsis oceani" "B" 0 0.513347022587269 "Moderate" "s" "p"
"637" "Nocardiopsis nanhaiensis" "B" 0.171115674195756 0.684462696783025 "Moderate" "s" "p"
"638" "Oceanobacillus arenosus" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"639" "Palleronia soli" "B" 0.513347022587269 0.513347022587269 "Moderate" "s" "p"
"640" "Pontibacillus salicampi" "B" 1.19780971937029 1.19780971937029 "Moderate" "s" "p"
"641" "Prolixibacter denitrificans" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"642" "Salipiger nanhaiensis" "B" 1.02669404517454 1.02669404517454 "Moderate" "s" "p"
"643" "Spiribacter curvatus" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"644" "Thiorhodococcus fuscus" "B" 0.342231348391513 0.684462696783025 "Moderate" "s" "p"
"645" "Virgibacillus oceani" "B" 0.598904859685147 0.598904859685147 "Moderate" "s" "p"
"646" "Winogradskyella litoriviva" "B" 0.684462696783025 0.855578370978782 "Moderate" "s" "p"
"647" "Aliifodinibius halophilus" "B" 1.02669404517454 1.71115674195756 "Moderate" "s" "p"
"648" "Bacillus urumqiensis" "B" 1.07802874743326 1.07802874743326 "Moderate" "s" "p"
"649" "Alteribacillus alkaliphilus" "B" 0.513347022587269 0.855578370978782 "Moderate" "s" "p"
"650" "Egicoccus halophilus" "B" 0.513347022587269 0.855578370978782 "Moderate" "s" "p"
"651" "Fictibacillus halophilus" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"653" "Halomonas lutescens" "B" 1.28336755646817 1.28336755646817 "Moderate" "s" "p"
"654" "Halomonas sediminicola" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"655" "Halomonas urumqiensis" "B" 1.42026009582478 1.42026009582478 "Moderate" "s" "p"
"656" "Larsenimonas suaedae" "B" 0.855578370978782 1.02669404517454 "Moderate" "s" "p"
"657" "Lentibacillus populi" "B" 1.19780971937029 1.36892539356605 "Moderate" "s" "p"
"658" "Maribacter lutimaris" "B" 0.342231348391513 0.855578370978782 "Moderate" "s" "p"
"659" "Marimicrobium arenosum" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"661" "Oceanobacillus halophilus" "B" 1.28336755646817 1.28336755646817 "Moderate" "s" "p"
"662" "Oceanobacillus longus" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"663" "Psychroflexus salis" "B" 0.513347022587269 0.513347022587269 "Moderate" "s" "p"
"664" "Rhodovulum aestuarii" "B" 0.342231348391513 0.684462696783025 "Moderate" "s" "p"
"665" "Salinicoccus amylolyticus" "B" 1.36892539356605 1.36892539356605 "Moderate" "s" "p"
"666" "Streptomyces daqingensis" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"667" "Bacillus kiskunsagensis" "B" 0.855578370978782 1.19780971937029 "Moderate" "s" "p"
"668" "Marinobacter salinus" "B" 0.513347022587269 1.02669404517454 "Moderate" "s" "p"
"669" "Psychroflexus planctonicus" "B" 0.513347022587269 0.513347022587269 "Moderate" "s" "p"
"670" "Aliidiomarina sedimenti" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"671" "Aliifodinibius salicampi" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"672" "Marinomonas algicida" "B" 0.171115674195756 0.171115674195756 "Moderate" "s" "p"
"673" "Oceanispirochaeta sediminicola" "B" 0.342231348391513 0.513347022587269 "Moderate" "s" "p"
"674" "Gracilimonas halophila" "B" 1.02669404517454 1.36892539356605 "Moderate" "s" "p"
"675" "Halomonas aestuarii" "B" 0.513347022587269 1.71115674195756 "Moderate" "s" "p"
"676" "Halomonas alkalicola" "B" 0 0.342231348391513 "Moderate" "s" "p"
"677" "Lentibacillus sediminis" "B" 1.02669404517454 1.02669404517454 "Moderate" "s" "p"
"678" "Marinobacter aquaticus" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"679" "Marinobacter halotolerans" "B" 0.513347022587269 0.513347022587269 "Moderate" "s" "p"
"680" "Marinobacter salexigens" "B" 0.513347022587269 0.513347022587269 "Moderate" "s" "p"
"681" "Nesterenkonia pannonica" "B" 0.855578370978782 1.19780971937029 "Moderate" "s" "p"
"682" "Pontibacterium granulatum" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"683" "Ponticoccus marisrubri" "B" 1.54004106776181 2.05338809034908 "Moderate" "s" "p"
"684" "Alkalicoccus halolimnae" "B" 1.42026009582478 2.1047227926078 "Moderate" "s" "p"
"685" "Rhodohalobacter halophilus" "B" 1.36892539356605 1.71115674195756 "Moderate" "s" "p"
"686" "Rhodosalinus sediminis" "B" 1.19780971937029 1.19780971937029 "Moderate" "s" "p"
"687" "Salinicola tamaricis" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"688" "Planococcus salinus" "B" 0.513347022587269 0.855578370978782 "Moderate" "s" "p"
"689" "Halomonas saliphila" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"690" "Albirhodobacter confluentis" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "p"
"691" "Halomonas litopenaei" "B" 0.513347022587269 1.02669404517454 "Moderate" "s" "p"
"693" "Maribacter litoralis" "B" 0 0.513347022587269 "Moderate" "s" "p"
"694" "Marinobacter bohaiensis" "B" 1.02669404517454 1.71115674195756 "Moderate" "s" "p"
"695" "Ornithinibacillus salinisoli" "B" 1.71115674195756 2.56673511293635 "Moderate" "s" "p"
"696" "Pseudogracilibacillus endophyticus" "B" 0.684462696783025 0.684462696783025 "Moderate" "s" "p"
"697" "Roseovarius ramblicola" "B" 0.513347022587269 0.513347022587269 "Moderate" "s" "p"
"698" "Salegentibacter sediminis" "B" 0.855578370978782 0.855578370978782 "Moderate" "s" "p"
"699" "Salinisphaera aquimarina" "B" 0.684462696783025 0.684462696783025 "Moderate" "s" "p"
