"Espécie" "Domínio" "Mínimo.opt" "Máximo.opt" "Classificação" "Sal.é.NaCl." "Unidade"
"81" "Halorientalis persicus" "A" 4.3 4.3 "Extreme" "s" "m"
"82" "Halosimplex pelagicum" "A" 3.4 3.4 "Extreme" "s" "m"
"83" "Halosimplex rubrum" "A" 3.1 3.1 "Extreme" "s" "m"
"84" "Halovivax limisalsi" "A" 4.3 4.3 "Extreme" "s" "m"
"85" "Salinigranum rubrum" "A" 3.1 3.1 "Extreme" "s" "m"
"86" "Halovarius luteus" "A" 4 4 "Extreme" "s" "m"
"87" "Halovivax cerinus" "A" 3.4 3.4 "Extreme" "s" "m"
"88" "Natribaculum breve" "A" 2.6 2.6 "Extreme" "s" "m"
"89" "Natribaculum longum" "A" 3.4 3.4 "Extreme" "s" "m"
"90" "Halanaeroarchaeum sulfurireducens" "A" 4 4 "Extreme" "s" "m"
"91" "Haloarchaeobius baliensis" "A" 2.6 2.6 "Extreme" "s" "m"
"92" "Halobium palmae" "A" 2.6 2.6 "Extreme" "s" "m"
"93" "Haloparvum sedimenti" "A" 2.6 3.4 "Extreme" "s" "m"
"94" "Halorubrum pallidum" "A" 3.4 3.4 "Extreme" "s" "m"
"95" "Halosiccatus urmianus" "A" 4 4 "Extreme" "s" "m"
"96" "Salinigranum salinum" "A" 2.6 2.6 "Extreme" "s" "m"
"97" "Haloplanus salinarum" "A" 3.1 3.1 "Extreme" "s" "m"
"98" "Haloprofundus marisrubri" "A" 3.5 4.3 "Extreme" "s" "m"
"99" "Haloterrigena mahii" "A" 3.5 5 "Extreme" "s" "m"
"100" "Natrinema soli" "A" 4 4 "Extreme" "s" "m"
"104" "Natrarchaeobaculum aegyptiacus" "A" 3.25 4.62 "Extreme" "s" "m"
"105" "Haloarcula sebkhae" "A" 4.3 5.1 "Extreme" "s" "m"
"106" "Halococcoides cellulosivorans" "A" 3.5 4 "Extreme" "s" "m"
"108" "Virgibacillus halodenitrificans" "B" 0.5 1.35 "Moderate" "s" "m"
"109" "Psychroflexus torquis" "B" 0.4 0.4 "Moderate" "s" "m"
"110" "Chromohalobacter salexigens" "B" 1.284 1.712 "Moderate" "s" "m"
"111" "Alcalilimnicola halodurans" "B" 0.51 1.37 "Moderate" "s" "m"
"112" "Jeotgalibacillus alimentarius" "B" 0.51 2.05 "Moderate" "s" "m"
"114" "Lentibacillus salicampi " "B" 0.68 1.37 "Moderate" "s" "m"
"115" "Halomonas alimentaria" "B" 0.17 2.22 "Moderate" "s" "m"
"116" "Salinicoccus alkaliphilus" "B" 1.71 1.71 "Moderate" "s" "m"
"117" "Saccharomonospora paurometabolica" "B" 1.71 1.71 "Moderate" "s" "m"
"118" "Halobacillus karajensis" "B" 1.71 1.71 "Moderate" "s" "m"
"119" "Methylophaga alcalica" "B" 0.51 0.68 "Moderate" "s" "m"
"120" "Marinobacter litoralis" "B" 0.34 1.2 "Moderate" "s" "m"
"121" "Jeotgalicoccus halotolerans" "B" 0.34 0.86 "Moderate" "s" "m"
"122" "Microbulbifer salipaludis" "B" 0.34 0.51 "Moderate" "s" "m"
"123" "Psychrobacter jeotgali" "B" 0.34 0.51 "Moderate" "s" "m"
"124" "Prauserella halophilia" "B" 1.71 2.57 "Moderate" "s" "m"
"125" "Prauserella alba" "B" 1.71 2.57 "Moderate" "s" "m"
"126" "Bacillus marisflavi " "B" 0.34 0.86 "Moderate" "s" "m"
