"Espécie" "Domínio" "Mínimo.sup" "Máximo.sup" "Classificação" "Sal.é.NaCl." "Unidade"
"369" "Cobetia marina" "B" 0.599 3.425 "No Class" "s" "m"
"370" "Marinospirillum megaterium" "B" 0.08 1.54 "No Class" "s" "m"
"371" "Desulfotomaculum halophilum" "B" 0.17 2.39 "No Class" "s" "m"
"374" "Haloanaerobiurn kushneri" "B" 1.54 3.08 "No Class" "s" "m"
"375" "Haloanaerobacter salinarus" "B" 0.85 5.13 "No Class" "s" "m"
"376" "Marinobacter aquaeolei" "B" 0 3.42 "No Class" "s" "m"
"377" "Shewanella oneidensis" "B" 0 0.51 "No Class" "s" "m"
"378" "Desulfocella halophila" "B" 0.34 3.25 "No Class" "s" "m"
"379" "Thermohalobacter barrensis" "B" 0.34 2.57 "No Class" "s" "m"
"380" "Haloanaerobium fermentans" "B" 1.2 4.28 "No Class" "s" "m"
"381" "Methylarcula marina" "B" 0.01 2.05 "No Class" "s" "m"
"382" "Methylarcula terricola" "B" 0.01 2.39 "No Class" "s" "m"
"383" "Flavobacterium gillisiae" "B" 0 0.86 "No Class" "s" "m"
"385" "Haladaptatus paucihalophilus" "A" 0.8 5.1 "No Class" "s" "m"
"387" "Aquibacillus elongatus" "B" 0.51 3.42 "No Class" "s" "m"
"389" "Alkalispirochaeta americana" "B" 0.34 2.05 "No Class" "s" "m"
"390" "Halorubrum persicum" "A" 2.57 5.14 "No Class" "s" "m"
"391" "Haloterrigena thermotolerans" "A" 2 4.3 "No Class" "s" "m"
"392" "Chromohalobacter marismortui" "B" 0.171 5.137 "No Class" "s" "m"
"393" "Salimicrobium album" "B" 0.342 4.281 "No Class" "s" "m"
"394" "Nocardiopsis kunsanensis" "B" 0.514 3.425 "No Class" "s" "m"
"395" "Halorubrum distributum" "A" 2.05338809034908 5.13347022587269 "Extreme" "s" "p"
"396" "Natronolimnohabitans innermongolicus" "A" 2.5 4.5 "Extreme" "s" "m"
"397" "Micrococcus halobius" "B" 1 5 "Moderate" "s" "m"
"398" "Lentibacillus halophilus" "B" 2.05338809034908 3.42231348391513 "Extreme" "s" "p"
"399" "Halococcus thailandensis" "A" 2.56673511293635 5.13347022587269 "Extreme" "s" "p"
"400" "Halalkalicoccus jeotgali" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p"
"401" "Haladaptatus cibarius" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p"
"402" "Halonotius pteroides" "A" 2.7378507871321 6.16016427104723 "Extreme" "s" "p"
"403" "Halostagnicola kamekurae" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p"
"404" "Natronomonas moolapensis" "A" 2.39561943874059 6.16016427104723 "Extreme" "s" "p"
"405" "Haloarcula salaria" "A" 2.56673511293635 5.13347022587269 "Extreme" "s" "p"
"406" "Haloarcula tradensis" "A" 2.56673511293635 5.13347022587269 "Extreme" "s" "p"
"407" "Halobellus clavatus" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p"
"408" "Halorientalis regularis" "A" 2.56673511293635 5.13347022587269 "Extreme" "s" "p"
"409" "Haloarchaeobius iranensis" "A" 0.342231348391513 0.855578370978782 "Extreme" "s" "p"
"410" "Actinopolyspora lacussalsi" "B" 1.71115674195756 3.42231348391513 "Extreme" "s" "p"
"411" "Halanaerobium sehlinense" "B" 0.855578370978782 5.13347022587269 "Extreme" "s" "p"
"412" "Halobaculum magnesiiphilum" "A" 1.02669404517454 5.13347022587269 "Extreme" "s" "p"
"413" "Halomicroarcula pellucida" "A" 3.42231348391513 5.13347022587269 "Extreme" "s" "p"
"414" "Halopelagius fulvigenes" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p"
"415" "Sporohalobacter salinus" "B" 0.855578370978782 5.13347022587269 "Extreme" "s" "p"
"417" "Halocalculus aciditolerans" "A" 2.05338809034908 5.13347022587269 "Extreme" "s" "p"
"418" "Halococcus agarilyticus" "A" 4.10677618069815 5.13347022587269 "Extreme" "s" "p"
"419" "Halolamina sediminis" "A" 2.56673511293635 5.13347022587269 "Extreme" "s" "p"
"420" "Halorubrum persicum" "A" 2.56673511293635 5.13347022587269 "Extreme" "s" "p"
"421" "Halostagnicola bangensis" "A" 3.42231348391513 5.13347022587269 "Extreme" "s" "p"
"423" "Halorubrum halodurans" "A" 3.42231348391513 5.13347022587269 "Extreme" "s" "p"
"424" "Halostella salina" "A" 2.56673511293635 5.13347022587269 "Extreme" "s" "p"
"425" "Haloactinomyces albus" "B" 1.71115674195756 5.98904859685147 "Extreme" "s" "p"
"426" "Halobaculum roseum" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p"
"427" "Halorubrum trueperi" "A" 2.56673511293635 5.13347022587269 "Extreme" "s" "p"
"428" "Salinifilum proteinilyticum" "B" 2.05338809034908 4.27789185489391 "Extreme" "s" "p"
"429" "Saliphagus infecundisoli" "A" 0.855578370978782 5.98904859685147 "Extreme" "s" "p"
"430" "Halorubrum aethiopicum" "A" 2.56673511293635 5.13347022587269 "Extreme" "s" "p"
"432" "Halorientalis pallida" "A" 2.56673511293635 5.13347022587269 "Extreme" "s" "p"
"435" "Psychrobacter alimentarius" "B" 0 2.05338809034908 "Moderate" "s" "p"
"437" "Oceanobacillus oncorhynchi" "B" 0 3.76454483230664 "Moderate" "s" "p"
"440" "Chromohalobacter japonicus" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p"
"441" "Salinicoccus kunmingensis" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p"
"442" "Halomonas kribbensis" "B" 0.171115674195756 2.39561943874059 "Moderate" "s" "p"
"443" "Salinicoccus siamensis" "B" 0.256673511293635 4.27789185489391 "Moderate" "s" "p"
"444" "Desulfovibrio marinus" "B" 0.0855578370978782 1.88227241615332 "Moderate" "s" "p"
"445" "Terribacillus goriensis" "B" 0 2.39561943874059 "Moderate" "s" "p"
"446" "Salinicola socius" "B" 0.0855578370978782 5.13347022587269 "Moderate" "s" "p"
"447" "Salinimicrobium catena" "B" 0.0171115674195756 1.71115674195756 "Moderate" "s" "p"
"448" "Alkalibacillus silvisoli" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p"
"449" "Marinobacter segnicrescens " "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p"
"451" "Modicisalibacter tunisiensis" "B" 0.171115674195756 4.27789185489391 "Moderate" "s" "p"
"452" "Salimicrobium luteum" "B" 0.342231348391513 4.62012320328542 "Moderate" "s" "p"
"453" "Kushneria avicenniae" "B" 0 4.27789185489391 "Moderate" "s" "p"
"454" "Marinobacter salsuginis " "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"455" "Halomonas gudaonensis" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"456" "Halomonas shengliensis" "B" 0 2.56673511293635 "Moderate" "s" "p"
"457" "Salinicola halophilus" "B" 0.513347022587269 4.27789185489391 "Moderate" "s" "p"
"458" "Salinicoccus luteus" "B" 0.171115674195756 4.27789185489391 "Moderate" "s" "p"
"459" "Halalkalibacillus halophilus" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p"
"460" "Halomonas saccharevitans" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"461" "Kushneria indalinina" "B" 0.513347022587269 4.27789185489391 "Moderate" "s" "p"
"462" "Halobacillus profundi" "B" 0.0855578370978782 5.13347022587269 "Moderate" "s" "p"
"463" "Halobacillus kuroshimensis" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p"
"464" "Lentibacillus halodurans" "B" 0.855578370978782 5.13347022587269 "Moderate" "s" "p"
"465" "Piscibacillus salipiscarius" "B" 0.342231348391513 5.13347022587269 "Moderate" "s" "p"
"466" "Salinicoccus jeotgali" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"467" "Lentibacillus kapialis" "B" 0.855578370978782 0.513347022587269 "Moderate" "s" "p"
"468" "Sediminibacillus halophilus" "B" 0 3.42231348391513 "Moderate" "s" "p"
"469" "Marinobacter pelagius" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"470" "Halopseudomonas xiamenensis" "B" 0 1.36892539356605 "Moderate" "s" "p"
"471" "Microbulbifer halophilus" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"472" "Haloactinospora alba" "B" 1.54004106776181 3.59342915811088 "Moderate" "s" "p"
"473" "Halomonas lutea" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"474" "Halolactibacillus alkaliphilus" "B" 0.0855578370978782 5.13347022587269 "Moderate" "s" "p"
"475" "Virgibacillus salarius" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p"
"477" "Alteromonas genovensis" "B" 0.342231348391513 2.56673511293635 "Moderate" "s" "p"
"478" "Marinobacter mobilis" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p"
"479" "Bacillus aidingensis" "B" 1.36892539356605 5.64681724845996 "Moderate" "s" "p"
"480" "Halomonas daqingensis" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p"
"482" "Nesterenkonia halophila" "B" 0.0855578370978782 5.13347022587269 "Moderate" "s" "p"
"483" "Marinobacter guineae" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p"
"484" "Salinimicrobium xinjiangense" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p"
"485" "Salinicoccus halodurans" "B" 0 4.10677618069815 "Moderate" "s" "p"
"486" "Bacillus aurantiacus" "B" 0 2.56673511293635 "Moderate" "s" "p"
"487" "Bacillus coahuilensis" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p"
"488" "Salinicoccus iranensis" "B" 0.171115674195756 4.27789185489391 "Moderate" "s" "p"
"489" "Salinivibrio proteolyticus" "B" 0.171115674195756 2.90896646132786 "Moderate" "s" "p"
"490" "Halomonas cerina" "B" 1.28336755646817 3.42231348391513 "Moderate" "s" "p"
"491" "Saccharomonospora saliphila" "B" 0 3.42231348391513 "Moderate" "s" "p"
"492" "Halobacillus seohaensis" "B" 0.171115674195756 3.59342915811088 "Moderate" "s" "p"
"493" "Albimonas donghaensis" "B" 0 2.39561943874059 "Moderate" "s" "p"
"494" "Bacillus polygoni" "B" 0.513347022587269 2.39561943874059 "Moderate" "s" "p"
"495" "Halomonas sabkhae" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p"
"497" "Aquisalibacillus elongatus" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p"
"498" "Sediminibacillus albus" "B" 0 3.76454483230664 "Moderate" "s" "p"
"499" "Alcanivorax hongdengensis" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"500" "Oceanicola pacificus" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p"
"501" "Marinobacter lacisalsi" "B" 0.513347022587269 2.56673511293635 "Moderate" "s" "p"
"502" "Piscibacillus halophilus" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"504" "Alteribacillus persepolensis" "B" 0.855578370978782 3.42231348391513 "Moderate" "s" "p"
"505" "Virgibacillus salinus" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p"
"506" "Salinivibrio siamensis" "B" 0.171115674195756 3.76454483230664 "Moderate" "s" "p"
"507" "Salinicoccus albus" "B" 0.171115674195756 5.13347022587269 "Moderate" "s" "p"
"510" "Saccharospirillum salsuginis" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p"
"511" "Lishizhenia tianjinensis" "B" 0.0855578370978782 1.11225188227242 "Moderate" "s" "p"
"513" "Paraliobacillus quinghaiensis" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"514" "Halomonas fontilapidosi" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p"
"515" "Marinobacter santoriniensis" "B" 0.0855578370978782 2.7378507871321 "Moderate" "s" "p"
"516" "Ectothiorhodospira variabilis" "B" 0.342231348391513 3.42231348391513 "Moderate" "s" "p"
"517" "Oceanibaculum indicum" "B" 0 1.54004106776181 "Moderate" "s" "p"
"518" "Prauserella salsuginis" "B" 0.855578370978782 2.56673511293635 "Moderate" "s" "p"
"519" "Prauserella flava" "B" 0.855578370978782 2.56673511293635 "Moderate" "s" "p"
"520" "Prauserella aidingensis" "B" 0.855578370978782 2.56673511293635 "Moderate" "s" "p"
"521" "Prauserella sediminis" "B" 0.855578370978782 3.42231348391513 "Moderate" "s" "p"
"522" "Oceanobacillus kapialis" "B" 0.0855578370978782 4.10677618069815 "Moderate" "s" "p"
"523" "Virgibacillus arcticus" "B" 0 3.42231348391513 "Moderate" "s" "p"
"524" "Thalassobacillus cyri" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p"
"525" "Kushneria aurantia" "B" 0.855578370978782 2.99452429842574 "Moderate" "s" "p"
"526" "Saccharopolyspora qijiaojingensis" "B" 1.02669404517454 3.76454483230664 "Moderate" "s" "p"
"527" "Paracoccus saliphilus" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p"
"528" "Saccharopolyspora halophila" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p"
"529" "Nautella italica" "B" 0.171115674195756 1.19780971937029 "Moderate" "s" "p"
"530" "Alkaliphilus halophilus" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"531" "Amorphus orientalis" "B" 0.0855578370978782 2.05338809034908 "Moderate" "s" "p"
"532" "Geomicrobium halophilum" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p"
"533" "Gracilibacillus thailandensis" "B" 0.171115674195756 3.76454483230664 "Moderate" "s" "p"
"534" "Halarchaeum acidiphilum" "A" 3.08008213552361 5.13347022587269 "Moderate" "s" "p"
"535" "Haloactinobacterium album" "B" 0.342231348391513 2.7378507871321 "Moderate" "s" "p"
"536" "Halomonas andesensis" "B" 0.0855578370978782 3.42231348391513 "Moderate" "s" "p"
"537" "Halomonas titanicae" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p"
"538" "Hwanghaeicola aestuarii" "B" 0.256673511293635 1.02669404517454 "Moderate" "s" "p"
"539" "Lentibacillus jeotgali" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p"
"541" "Oceanobacillus locisalsi" "B" 0 4.27789185489391 "Moderate" "s" "p"
"542" "Pontibacillus litoralis" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"543" "Salinicoccus carnicancri" "B" 0 3.42231348391513 "Moderate" "s" "p"
"544" "Salinisphaera dokdonensis" "B" 0.684462696783025 3.59342915811088 "Moderate" "s" "p"
"545" "Terribacillus aidingensis" "B" 0.0855578370978782 3.59342915811088 "Moderate" "s" "p"
"546" "Virgibacillus subterraneus" "B" 0 4.27789185489391 "Moderate" "s" "p"
"547" "Pontibacillus yanchengensis" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p"
"548" "Isoalcanivorax pacificus" "B" 0.0855578370978782 2.05338809034908 "Moderate" "s" "p"
"549" "Bacillus alkalisediminis" "B" 0.342231348391513 1.71115674195756 "Moderate" "s" "p"
"550" "Bacillus hemicentroti" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p"
"551" "Cellulomonas phragmiteti" "B" 0.342231348391513 1.19780971937029 "Moderate" "s" "p"
"552" "Citreicella aestuarii" "B" 0.171115674195756 1.88227241615332 "Moderate" "s" "p"
"553" "Haloactinopolyspora alba" "B" 1.19780971937029 3.9356605065024 "Moderate" "s" "p"
"554" "Halomonas daqiaonensis" "B" 0.342231348391513 2.56673511293635 "Moderate" "s" "p"
"556" "Halomonas stenophila" "B" 0.513347022587269 2.56673511293635 "Moderate" "s" "p"
"557" "Halomonas vilamensis" "B" 0.171115674195756 4.27789185489391 "Moderate" "s" "p"
"558" "Marinobacter daqiaonensis" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p"
"559" "Marinobacter oulmenensis" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p"
"560" "Roseicitreum antarcticum" "B" 0 2.56673511293635 "Moderate" "s" "p"
"561" "Serinicoccus chungangensis" "B" 0 2.56673511293635 "Moderate" "s" "p"
"562" "Serinicoccus profundi" "B" 0 2.39561943874059 "Moderate" "s" "p"
"563" "Streptohalobacillus salinus" "B" 0 3.42231348391513 "Moderate" "s" "p"
"564" "Thalassobacillus pellis" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p"
"565" "Thioprofundum hispidum" "B" 0.171115674195756 0.684462696783025 "Moderate" "s" "p"
"566" "Alteribacillus bidgolensis" "B" 0.0855578370978782 2.13894592744695 "Moderate" "s" "p"
"567" "Alteribacillus iranensis" "B" 0.427789185489391 2.56673511293635 "Moderate" "s" "p"
"569" "Fodinibius salinus" "B" 0.684462696783025 3.9356605065024 "Moderate" "s" "p"
"570" "Gracilibacillus bigeumensis" "B" 0.171115674195756 3.76454483230664 "Moderate" "s" "p"
"571" "Gracilibacillus kekensis" "B" 0 3.76454483230664 "Moderate" "s" "p"
"572" "Halanaerobacter jeridensis" "B" 1.02669404517454 5.13347022587269 "Moderate" "s" "p"
"573" "Halomonas ramblicola" "B" 0.171115674195756 5.13347022587269 "Moderate" "s" "p"
"575" "Mangroviflexus xiamenensis" "B" 0.0342231348391513 0.598904859685147 "Moderate" "s" "p"
"576" "Natribacillus halophilus" "B" 1.19780971937029 3.9356605065024 "Moderate" "s" "p"
"577" "Psychroflexus halocasei" "B" 0.427789185489391 2.7378507871321 "Moderate" "s" "p"
"578" "Roseivivax sediminis" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p"
"579" "Salinactinospora qingdaonensis" "B" 0.171115674195756 3.9356605065024 "Moderate" "s" "p"
"580" "Salinicoccus qingdaonensis" "B" 0 4.27789185489391 "Moderate" "s" "p"
"581" "Salinisphaera halophila" "B" 1.02669404517454 4.96235455167693 "Moderate" "s" "p"
"582" "Salinisphaera orenii" "B" 0.513347022587269 4.27789185489391 "Moderate" "s" "p"
"583" "Saliterribacillus persicus" "B" 0.0855578370978782 3.85010266940452 "Moderate" "s" "p"
"584" "Aliifodinibius roseus" "B" 0.684462696783025 3.42231348391513 "Moderate" "s" "p"
"585" "Aliifodinibius sediminis" "B" 0.684462696783025 2.7378507871321 "Moderate" "s" "p"
"586" "Bacillus halosaccharovorans" "B" 17.9671457905544 4.27789185489391 "Moderate" "s" "p"
"587" "Celerinatantimonas yamalensis " "B" 0.342231348391513 2.05338809034908 "Moderate" "s" "p"
"588" "Defluviimonas aestuarii" "B" 0 1.71115674195756 "Moderate" "s" "p"
"589" "Fabibacter pacificus" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p"
"590" "Galbibacter marinus" "B" 0 1.54004106776181 "Moderate" "s" "p"
"591" "Gracilimonas mengyeensis" "B" 0.342231348391513 2.56673511293635 "Moderate" "s" "p"
"592" "Halarchaeum nitratireducens" "A" 1.54004106776181 5.13347022587269 "Moderate" "s" "p"
"593" "Halarchaeum rubridurum" "A" 1.54004106776181 5.13347022587269 "Moderate" "s" "p"
"594" "Halarchaeum salinum" "A" 2.05338809034908 5.13347022587269 "Moderate" "s" "p"
"595" "Halomonas smyrnensis" "B" 0.513347022587269 4.27789185489391 "Moderate" "s" "p"
"596" "Halomonas zincidurans" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"597" "Marinococcus tarijensis" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p"
"598" "Melghirimyces thermohalophilus" "B" 0.855578370978782 3.42231348391513 "Moderate" "s" "p"
"599" "Muricauda taeanensis" "B" 0.171115674195756 1.36892539356605 "Moderate" "s" "p"
"600" "Nesterenkonia suensis" "B" 0 3.08008213552361 "Moderate" "s" "p"
"601" "Ornithinibacillus halophilus" "B" 0.0855578370978782 2.13894592744695 "Moderate" "s" "p"
"602" "Phaeocystidibacter luteus" "B" 0.0427789185489391 1.28336755646817 "Moderate" "s" "p"
"603" "Roseovarius lutimaris" "B" 0.171115674195756 1.02669404517454 "Moderate" "s" "p"
"604" "Salinisphaera japonica" "B" 0.171115674195756 5.13347022587269 "Moderate" "s" "p"
"605" "Sinobacterium caligoides" "B" 0.256673511293635 0.770020533880904 "Moderate" "s" "p"
"606" "Aquibacillus halophilus" "B" 0.0855578370978782 3.42231348391513 "Moderate" "s" "p"
"607" "Aliicoccus persicus" "B" 0.0855578370978782 2.13894592744695 "Moderate" "s" "p"
"609" "Aquisalimonas halophila" "B" 0.513347022587269 3.9356605065024 "Moderate" "s" "p"
"610" "Bacillus oryzaecorticis" "B" 0 1.54004106776181 "Moderate" "s" "p"
"612" "Glycocaulis albus" "B" 0.171115674195756 0.855578370978782 "Moderate" "s" "p"
"613" "Halomonas huangheensis" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"614" "Halomonas olivaria" "B" 0 4.27789185489391 "Moderate" "s" "p"
"615" "Halomonas songnenensis" "B" 0.0342231348391513 2.56673511293635 "Moderate" "s" "p"
"616" "Oceanicola antarcticus" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p"
"617" "Oceanicola flagellatus" "B" 0.0855578370978782 1.28336755646817 "Moderate" "s" "p"
"618" "Oceanobacillus limi" "B" 0.427789185489391 1.71115674195756 "Moderate" "s" "p"
"619" "Oceanobacillus pacificus" "B" 0 2.39561943874059 "Moderate" "s" "p"
"620" "Psychroflexus salarius" "B" 0.171115674195756 1.71115674195756 "Moderate" "s" "p"
"621" "Actinoalloteichus hoggarensis" "B" 0.513347022587269 1.19780971937029 "Moderate" "s" "p"
"623" "Bacillus rigiliprofundi" "B" 0 2.05338809034908 "Moderate" "s" "p"
"624" "Bacillus wuyishanensis" "B" 0 1.02669404517454 "Moderate" "s" "p"
"625" "Celeribacter naphthalenivorans" "B" 0.171115674195756 1.19780971937029 "Moderate" "s" "p"
"626" "Confluentimicrobium naphthalenivorans" "B" 0.171115674195756 0.855578370978782 "Moderate" "s" "p"
"628" "Garicola koreensis" "B" 0.171115674195756 2.90896646132786 "Moderate" "s" "p"
"629" "Gynuella sunshinyii" "B" 0.171115674195756 1.19780971937029 "Moderate" "s" "p"
"630" "Halobacillus andaensis" "B" 0.513347022587269 2.56673511293635 "Moderate" "s" "p"
"631" "Halobacillus sediminis" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"632" "Idiomarina aquatica" "B" 0.513347022587269 2.56673511293635 "Moderate" "s" "p"
"633" "Limibacillus halophilus" "B" 0 0.855578370978782 "Moderate" "s" "p"
"634" "Melghiribacillus thermohalophilus" "B" 0.0855578370978782 2.90896646132786 "Moderate" "s" "p"
"635" "Nesterenkonia populi" "B" 0.513347022587269 2.56673511293635 "Moderate" "s" "p"
"636" "Nocardiopsis oceani" "B" 0 1.36892539356605 "Moderate" "s" "p"
"637" "Nocardiopsis nanhaiensis" "B" 0 1.19780971937029 "Moderate" "s" "p"
"638" "Oceanobacillus arenosus" "B" 0 1.36892539356605 "Moderate" "s" "p"
"639" "Palleronia soli" "B" 0.171115674195756 1.88227241615332 "Moderate" "s" "p"
"640" "Pontibacillus salicampi" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"641" "Prolixibacter denitrificans" "B" 0.171115674195756 2.22450376454483 "Moderate" "s" "p"
"642" "Salipiger nanhaiensis" "B" 0 3.25119780971937 "Moderate" "s" "p"
"643" "Spiribacter curvatus" "B" 0.855578370978782 3.42231348391513 "Moderate" "s" "p"
"644" "Thiorhodococcus fuscus" "B" 0.0855578370978782 1.19780971937029 "Moderate" "s" "p"
"645" "Virgibacillus oceani" "B" 0.0855578370978782 3.08008213552361 "Moderate" "s" "p"
"646" "Winogradskyella litoriviva" "B" 0.0855578370978782 1.19780971937029 "Moderate" "s" "p"
"647" "Aliifodinibius halophilus" "B" 0.342231348391513 3.08008213552361 "Moderate" "s" "p"
"648" "Bacillus urumqiensis" "B" 0.222450376454483 4.32922655715264 "Moderate" "s" "p"
"649" "Alteribacillus alkaliphilus" "B" 0.0855578370978782 4.10677618069815 "Moderate" "s" "p"
"650" "Egicoccus halophilus" "B" 0 1.54004106776181 "Moderate" "s" "p"
"651" "Fictibacillus halophilus" "B" 0 2.05338809034908 "Moderate" "s" "p"
"653" "Halomonas lutescens" "B" 0 3.42231348391513 "Moderate" "s" "p"
"654" "Halomonas sediminicola" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"655" "Halomonas urumqiensis" "B" 0.222450376454483 4.32922655715264 "Moderate" "s" "p"
"656" "Larsenimonas suaedae" "B" 0.102669404517454 3.42231348391513 "Moderate" "s" "p"
"657" "Lentibacillus populi" "B" 0 2.56673511293635 "Moderate" "s" "p"
"658" "Maribacter lutimaris" "B" 0.171115674195756 1.19780971937029 "Moderate" "s" "p"
"659" "Marimicrobium arenosum" "B" 0 0.513347022587269 "Moderate" "s" "p"
"661" "Oceanobacillus halophilus" "B" 0.513347022587269 2.56673511293635 "Moderate" "s" "p"
"662" "Oceanobacillus longus" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"663" "Psychroflexus salis" "B" 0.0855578370978782 2.39561943874059 "Moderate" "s" "p"
"664" "Rhodovulum aestuarii" "B" 0 1.36892539356605 "Moderate" "s" "p"
"665" "Salinicoccus amylolyticus" "B" 0 4.27789185489391 "Moderate" "s" "p"
"666" "Streptomyces daqingensis" "B" 0 1.88227241615332 "Moderate" "s" "p"
"667" "Bacillus kiskunsagensis" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p"
"668" "Marinobacter salinus" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"669" "Psychroflexus planctonicus" "B" 0.0855578370978782 2.39561943874059 "Moderate" "s" "p"
"670" "Aliidiomarina sedimenti" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p"
"671" "Aliifodinibius salicampi" "B" 0.513347022587269 4.27789185489391 "Moderate" "s" "p"
"672" "Marinomonas algicida" "B" 0.171115674195756 2.05338809034908 "Moderate" "s" "p"
"673" "Oceanispirochaeta sediminicola" "B" 0.171115674195756 1.19780971937029 "Moderate" "s" "p"
"674" "Gracilimonas halophila" "B" 0.342231348391513 2.7378507871321 "Moderate" "s" "p"
"675" "Halomonas aestuarii" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"676" "Halomonas alkalicola" "B" 0 1.36892539356605 "Moderate" "s" "p"
"677" "Lentibacillus sediminis" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"678" "Marinobacter aquaticus" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p"
"679" "Marinobacter halotolerans" "B" 0.0855578370978782 3.42231348391513 "Moderate" "s" "p"
"680" "Marinobacter salexigens" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"681" "Nesterenkonia pannonica" "B" 0 2.56673511293635 "Moderate" "s" "p"
"682" "Pontibacterium granulatum" "B" 0.171115674195756 1.02669404517454 "Moderate" "s" "p"
"683" "Ponticoccus marisrubri" "B" 0.513347022587269 3.08008213552361 "Moderate" "s" "p"
"684" "Alkalicoccus halolimnae" "B" 0.735797399041752 4.15811088295688 "Moderate" "s" "p"
"685" "Rhodohalobacter halophilus" "B" 0.342231348391513 2.7378507871321 "Moderate" "s" "p"
"686" "Rhodosalinus sediminis" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p"
"687" "Salinicola tamaricis" "B" 0 4.27789185489391 "Moderate" "s" "p"
"688" "Planococcus salinus" "B" 0.513347022587269 2.56673511293635 "Moderate" "s" "p"
"689" "Halomonas saliphila" "B" 0 2.90896646132786 "Moderate" "s" "p"
"690" "Albirhodobacter confluentis" "B" 0 1.02669404517454 "Moderate" "s" "p"
"691" "Halomonas litopenaei" "B" 0.0855578370978782 3.76454483230664 "Moderate" "s" "p"
