"Espécie" "Domínio" "Mínimo.sup" "Máximo.sup" "Classificação" "Sal.é.NaCl." "Unidade"
"84" "Halovivax limisalsi" "A" 2.5 5.1 "Extreme" "s" "m"
"85" "Salinigranum rubrum" "A" 1.4 4.8 "Extreme" "s" "m"
"86" "Halovarius luteus" "A" 2.5 5 "Extreme" "s" "m"
"87" "Halovivax cerinus" "A" 2.5 5.1 "Extreme" "s" "m"
"88" "Natribaculum breve" "A" 0.9 5.1 "Extreme" "s" "m"
"89" "Natribaculum longum" "A" 0.9 5.1 "Extreme" "s" "m"
"90" "Halanaeroarchaeum sulfurireducens" "A" 3 5 "Extreme" "s" "m"
"91" "Haloarchaeobius baliensis" "A" 1.7 5.1 "Extreme" "s" "m"
"93" "Haloparvum sedimenti" "A" 1.7 5.1 "Extreme" "s" "m"
"94" "Halorubrum pallidum" "A" 2.6 5.1 "Extreme" "s" "m"
"95" "Halosiccatus urmianus" "A" 2.5 5 "Extreme" "s" "m"
"96" "Salinigranum salinum" "A" 0.9 4.8 "Extreme" "s" "m"
"97" "Haloplanus salinarum" "A" 2.5 4.5 "Extreme" "s" "m"
"98" "Haloprofundus marisrubri" "A" 1.2 5.8 "Extreme" "s" "m"
"99" "Haloterrigena mahii" "A" 2 5.1 "Extreme" "s" "m"
"100" "Natrinema soli" "A" 3 4.5 "Extreme" "s" "m"
"104" "Natrarchaeobaculum aegyptiacus" "A" 2.57 6.16 "Extreme" "s" "m"
"105" "Haloarcula sebkhae" "A" 1.7 5.1 "Extreme" "s" "m"
"106" "Halococcoides cellulosivorans" "A" 2.5 5 "Extreme" "s" "m"
"108" "Virgibacillus halodenitrificans" "B" 0.35 4.25 "Moderate" "s" "m"
"109" "Psychroflexus torquis" "B" 0.25 0.8 "Moderate" "s" "m"
"110" "Chromohalobacter salexigens" "B" 0.154 4.281 "Moderate" "s" "m"
"111" "Alcalilimnicola halodurans" "B" 0 4.79 "Moderate" "s" "m"
"112" "Jeotgalibacillus alimentarius" "B" 0.51 3.42 "Moderate" "s" "m"
"114" "Lentibacillus salicampi " "B" 0.53 3.94 "Moderate" "s" "m"
"115" "Halomonas alimentaria" "B" 0.08 3.94 "Moderate" "s" "m"
"116" "Salinicoccus alkaliphilus" "B" 0 4.28 "Moderate" "s" "m"
"117" "Saccharomonospora paurometabolica" "B" 0.86 3.42 "Moderate" "s" "m"
"118" "Halobacillus karajensis" "B" 0.17 4.11 "Moderate" "s" "m"
"119" "Methylophaga alcalica" "B" 0.01 1.71 "Moderate" "s" "m"
"120" "Marinobacter litoralis" "B" 0.08 3.08 "Moderate" "s" "m"
"121" "Jeotgalicoccus halotolerans" "B" 0.08 2.39 "Moderate" "s" "m"
"122" "Microbulbifer salipaludis" "B" 0.08 1.71 "Moderate" "s" "m"
"123" "Psychrobacter jeotgali" "B" 0 1.71 "Moderate" "s" "m"
"124" "Prauserella halophilia" "B" 0.86 4.28 "Moderate" "s" "m"
"125" "Prauserella alba" "B" 0 4.28 "Moderate" "s" "m"
"126" "Bacillus marisflavi " "B" 0 2.74 "Moderate" "s" "m"
"127" "Bacillus aquimaris" "B" 0 3.08 "Moderate" "s" "m"
"128" "Alteromonas marina" "B" 0 2.57 "Moderate" "s" "m"
"129" "Oceanisphaera litoralis" "B" 0.08 1.71 "Moderate" "s" "m"
"130" "Mesonia algae" "B" 0.17 2.57 "Moderate" "s" "m"
"131" "Thialkalivibrio nitratireducens" "B" 0.2 1.5 "Moderate" "s" "m"
"132" "Marinobacter excellens" "B" 0.17 2.57 "Moderate" "s" "m"
"133" "Psychroflexus tropicus" "B" 0.17 3.42 "Moderate" "s" "m"
"134" "Psychrobacter marincola " "B" 0.08 2.65 "Moderate" "s" "m"
"135" "Halomonas organivorans" "B" 0.26 5.13 "Moderate" "s" "m"
"136" "Chromohalobacter sarecensis" "B" 0 2.57 "Moderate" "s" "m"
"138" "Halomonas boliviensis" "B" 0 4.28 "Moderate" "s" "m"
"139" "Methanobacterium aarhusense" "B" 0.05 1 "Moderate" "s" "m"
"140" "Kordia algicida" "B" 0.17 0.86 "Moderate" "s" "m"
"141" "Marinibacillus campisalis" "B" 0.08 2.57 "Moderate" "s" "m"
"142" "Alteromonas stellipolaris" "B" 0.17 1.71 "Moderate" "s" "m"
"143" "Nocardiopsis salina" "B" 0.51 3.42 "Moderate" "s" "m"
"144" "Desulfovibrio bastinii" "B" 0.17 2.05 "Moderate" "s" "m"
"145" "Desulfovibrio gracilis" "B" 0.34 2.05 "Moderate" "s" "m"
"146" "Salipiger mucescens" "B" 0.08 3.42 "Moderate" "s" "m"
"147" "Novosphingobium pentaromativorans" "B" 0.17 1.03 "Moderate" "s" "m"
"148" "Paraglaciecola polaris" "B" 0 1.71 "Moderate" "s" "m"
"149" "Idiomarina fontislapidosi" "B" 0.08 4.28 "Moderate" "s" "m"
"150" "Idiomarina ramblicola" "B" 0.08 2.57 "Moderate" "s" "m"
"151" "Desulfovibrio alaskensis" "B" 0 1.71 "Moderate" "s" "m"
"152" "Serinicoccus marinus" "B" 0 2.57 "Moderate" "s" "m"
"153" "Halomonas koreensis" "B" 0.17 3.42 "Moderate" "s" "m"
"154" "Halomonas axialensis" "B" 0.08 3.86 "Moderate" "s" "m"
"155" "Halomonas hydrothermalis" "B" 0.08 3.54 "Moderate" "s" "m"
"156" "Tenuibacillus multivorans" "B" 0.17 3.42 "Moderate" "s" "m"
"157" "Salinimonas chungwhensis" "B" 0.08 2.57 "Moderate" "s" "m"
"158" "Pontibacillus chungwhensis" "B" 0.17 2.57 "Moderate" "s" "m"
"159" "Lentibacillus juripiscarius" "B" 0.51 5.13 "Moderate" "s" "m"
"160" "Psychrobacter cibarius" "B" 0 2.05 "Moderate" "s" "m"
"161" "Bacillus oshimensis" "B" 0 3.42 "Moderate" "s" "m"
"162" "Salinibacillus aidingensis" "B" 0.86 3.42 "Moderate" "s" "m"
"163" "Salinibacillus kushneri" "B" 0.17 5.13 "Moderate" "s" "m"
"164" "Pontibacillus marinus" "B" 0.17 1.54 "Moderate" "s" "m"
"165" "Lentibacillus salarius" "B" 0.17 3.42 "Moderate" "s" "m"
"166" "Alteromonas hispanica" "B" 1.28 2.57 "Moderate" "s" "m"
"167" "Palleronia marisminoris" "B" 0.51 2.57 "Moderate" "s" "m"
"168" "Halobacillus dabanensis" "B" 0.01 4.28 "Moderate" "s" "m"
"169" "Halobacillus aidingensis" "B" 0.01 3.42 "Moderate" "s" "m"
"170" "Halomonas taeanensis" "B" 0.71 4.28 "Moderate" "s" "m"
"171" "Lentibacillus lacisalsi" "B" 0.86 4.28 "Moderate" "s" "m"
"172" "Thalassobacillus devorans" "B" 0.08 3.42 "Moderate" "s" "m"
"173" "Alkalibacillus haloalkaliphilus" "B" 0 4.28 "Moderate" "s" "m"
"174" "Alkalibacillus salilacus" "B" 0.86 3.42 "Moderate" "s" "m"
