Espécie	Domínio	Mínimo opt	Máximo opt	Mínimo sup	Máximo sup	Classificação	Sal é NaCl?	Unidade	Checado?	Referência	journal	Ano
Thalassomonas viridans	B			0,51	0,68	No Class	s	m		Macián et al. 2001	Micro Society	2001
Vibrio agarivorans	B	0,34	0,34	0,34	1,03	No Class	s	m		Mácian et al. 2001	Micro Society	2001
Psychromonas marina	B	0,51	0,86	0,17	1,2	No Class	s	m	Frio	Kawasaki et al. 2002	Micro Society	2002
Pseudoalteromonas issachenkonii	B	0,17	0,51	0,08	2,57	No Class	s	m		Ivanova et al. 2002	Micro Society	2002
Halomonas muralis	B	0,43	1,71	0	2,57	No Class	s	m		Heyrman et al 2002	Micro Society	2002
Vibrio calviensis	B	0,43	0,6	0,26	2,05	No Class	s	m		Denner et al. 2002	Micro Society	2002
Marinilactibacillus psychrotolerans	B	0,34	0,64	0	3,51	No Class	s	m	Frio	Ishikawa et al.2003	Micro Society	2003
Halobacillus salinus	B	0,34	1,71	0	3,94	No Class	s	m		Yoon et al. 2003	Micro Society	2003
Marinomonas primoryensis	B			0,17	1,03	No Class	s	m	psychro	Romanenko et al. 2003	Micro Society	2003
Nocardiopsis xinjiangensis	B	1,71	1,71			No Class	s	m		Li et al. 2003	Micro Society	2003
Shewanella marinintestina	B	0,34	0,51	0,17	0,86	No Class	s	m		Satomi et al. 2003	Micro Society	2003
Shewanella sairae	B	0,34	0,51	0,17	0,86	No Class	s	m		Satomi et al. 2003	Micro Society	2003
Shewanella schlegeliana	B	0,34	0,51	0,17	0,86	No Class	s	m		Satomi et al. 2003	Micro Society	2003
Streptomonospora alba	B	1,71	2,57	0,86	4,28	No Class	s	m		Li et al. 2003	Micro Society	2003
Idiomarina loihiensis	B	1,28	1,71	0,08	3,42	No Class	s	m		Donachie et al. 2003	Micro Society	2003
Psychrobacter submarinus	B			0,08	2,65	No Class	s	m	Frio	Romanenko et al. 2003	Micro Society	2003
Marinobacter bryozoorum	B				3,08	No Class	s	m		Romanenko et al. 2003	Micro Society	2003
Marinobacter sediminum	B			0,17	3,08	No Class	s	m		Romanenko et al. 2003	Micro Society	2003
Halorubrum xinjiangense	A	3,3	3,3	2	5,2	No Class	s	m		Bowers e Wiegel 2011/Feng et al. 2004	Micro Society	2004
Marinospirillum insulare	B	0,34	0,51	0,08	1,71	No Class	s	m		Satomi et al. 2004	Micro Society	2004
Paracoccus haeundaensis	B	0,17	1,03	0	1,37	No Class	s	m		Lee et al. 2004	Micro Society	2004
Halomonas neptunia	B	0,32	0,48	0,08	0,35	No Class	s	m		Kaye et al. 2004	Micro Society	2004
Halomonas sulfidaeris	B	0,32	0,48	0,08	3,86	No Class	s	m		Kaye et al. 2004	Micro Society	2004
Gramella echinicola	B			0,17	2,57	No Class	s	m		Nedashkovskaya et al 2005	Micro Society	2005
Arcobacter halophilus	B	0,6	0,6	0,34		No Class	s	m		Donachie et al. 2005	Micro Society	2005
Alloalcanivorax dieselolei	B	0,51	1,28	0,17	2,57	No Class	s	m		Lio and Shao 2005 / Rai et al 2023	Micro Society	2005
Subsaximicrobium wynnwilliamsii	B	0,3	0,4	0,25	2	No Class	s	m		Bowman et al. 2005	Micro Society	2005
Subsaximicrobium saxinquilinus	B	0,3	0,4	0,1	2	No Class	s	m		Bowman et al. 2005	Micro Society	2005
Subsaxibacter broadyi	B	0,3	0,4	0,1	1,25	No Class	s	m		Bowman et al. 2005	Micro Society	2005
Lacinutrix copepodicola	B	0,3	0,4	0,1	2	No Class	s	m		Bowman et al. 2005	Micro Society	2005
Bizionia saleffrena	B	1	1	0,2	3	No Class	s	m		Bowman et al. 2005	Micro Society	2005
Bizionia gelidisalsuginis	B	1	1	0,2	3	No Class	s	m		Bowman et al. 2005	Micro Society	2005
Bizionia algoritergicola	B	0,3	0,4	0,2	2	No Class	s	m		Bowman et al. 2005	Micro Society	2005
Bizionia myxarmorum	B	0,3	0,4	0,2	2	No Class	s	m		Bowman et al. 2005	Micro Society	2005
Gelidibacter gilvus	B	0,3	0,4	0,1	1,5	No Class	s	m		Bowman et al. 2005	Micro Society	2005
Gillisia sandarakina	B	0,3	0,5	0,2	1,5	No Class	s	m		Bowman et al. 2005	Micro Society	2005
Gillisia hiemivivida	B	0,3	0,5	0,2	1,5	No Class	s	m		Bowman et al. 2005	Micro Society	2005
Methylothermus thermalis	B	0,01	0,17	0	0,34	No Class	s	m	Thermo	Tsubota et al 2005	Micro Society	2005
Ferrimonas marina	B	0,51	0,51	0,26	0,6	No Class	s	m		Katsuta et al 2005	Micro Society	2005
Halobacillus yeomjeoni	B	0,51	0,85	0,08	3,59	No Class	s	m		Yoon et al. 2005	Micro Society	2005
Halococcus hamelinensis	A	2,55	2,55	2,13	5,1	No Class	s	m		Bowers e Wiegel 2011 / Goh et al. 2006	Micro Society	2006
Halorubrum orientale	A	3,4	3,4	2,5	5	No Class	s	m		Bowers e Wiegel 2011 / Castillo et al. 2006	Micro Society	2006
Marinomonas ostreistagni	B	0,51	0,51	0,17	1,71	No Class	s	m		Lau et al. 2006	Micro Society	2006
Halobacterium jilantaiense	A	3,1	3,5	2,7	5,2	No Class	s	m		Yang et al. 2006	Micro Society	2006
Pseudidiomarina homiensis	B	0,51	0,85	0,17	2,56	No Class	s	m		Kwon et al. 2006/Jean et al. 2009	Micro Society	2006
Paucisalibacillus globulus	B	0,17	0,17	0	1,37	No Class	s	m		Nunes et al. 2006	Micro Society	2006
Stappia marina	B	0,51	0,51	0,51	1,03	No Class	s	m		Kim et al. 2006	Micro Society	2006
Natronococcus jeotgali	A	3,94	4,28	1,28	5,13	No Class	s	m		Bowers e Wiegel 2011 / Roh et al 2007	Micro Society	2007
Halorubrum ejinorense	A	3,4	3,4	2,5	5	No Class	s	m		Castillo et al 2007	Micro Society	2007
Halorubrum luteum	A	4,2	4,2	2,5	5,2	No Class	s	m		Bowers e Wiegel 2011 / Hu et al 2008	Micro Society	2008
Natrinema gari 	A	2,6	3,4	1,7	5,1	No Class	s	m		Tapingkae et al 2008	Micro Society	2008
Methylomicrobium kenyense	B			0	1,1	No Class	Na+	m		Kalyuzhnaya et al 2008	Micro Society	2008
Natranaerobius trueperi	B	3,7	3,7	3,1	5,4	No Class	Na+	m		Mesbah et al 2009	Micro Society	2009
Salsuginibacillus halophilus	B	3,25	3,25	1,54	5,133	No Class	s	m	Alkali	Cao et al. 2010	Micro Society	2010
Halogeometricum rufum	A	3,9	3,9	2,1	5,1	No Class	s	m		Cui et al 2010	Micro Society	2010
Halogeometricum limi	A	3,9	3,9	2,1	5,1	No Class	s	m		Cui et al 2010 / Qiu et al 2013	Micro Society	2010
Filobacillus milensis	B	1,369	2,397	0,342	3,938	No Class	s	m		Schlesner et al. 2001		2011
Halorubrum aquaticum	A	3,4	3,4	2,5	5	No Class	s	m		Gutiérrez et al 2011	Micro Society	2011
Halobellus limi	A	2,6	3,9	1,4	5,1	No Class	s	m		Cui et al 2012	Micro Society	2012
Halobellus salinus	A	3,4	3,4	2,6	5,1	No Class	s	m		Cui et al 2012	Micro Society	2012
Halomicrobium zhouii	A	2,6	2,6	1,4	5,1	No Class	s	m		Yang and Cui 2012	Micro Society	2012
Spirochaeta sphaeroplastigenens	B	0,86	1,28	0,34	2,05	No Class	s	m	Alkali	Shivani et al. 2015 / Vishnuvardhan et al 2013	Micro Society	2013
Halomicroarcula limicola	A	2,1	2,1	0,9	4,8	No Class	s	m		Zhang and Cui 2014	Micro Society	2014
Methanococcoides vulcani	A	0,5	0,5			No Class	Na+	m		L'Haridon et al 2014	Micro Society	2014
Natronoarchaeum rubrum	A	2,6	2,6	1,4	4,8	No Class	s	m		Qiu et al 2014	Micro Society	2014
Fuchsiella ferrireducens	B	3,3	3,8	1,4	4,2	No Class	Na+	m	Alkali	Zhilina et al 2015	Micro Society	2015
Haloarchaeobius salinus	A	2	2	1,4	4,8	No Class	s	m		Yuan et al 2015	Micro Society	2015
Halomicroarcula salina	A	2,1	2,1	1,9	4,8	No Class	s	m		Zhang and Cui 2015	Micro Society	2015
Halorubrum gandharaense	A	3,2	3,4	3	5,2	No Class	s	m	Alkali	Kondo et al 2015	Micro Society	2015
Halorubrum yunnanense	A	3,4	3,4	1,7	5,1	No Class	s	m		Chen et al 2015	Micro Society	2015
Halorussus amylolyticus	A	2	2	1,4	4,8	No Class	s	m		Yuan et al 2015	Micro Society	2015
Haloparvum alkalitolerans	A	2,1	2,6	2,1	4,7	No Class	s	m	Alkali	Kondo et al 2016	Micro Society	2016
Halopiger thermotolerans	A	2,5	2,5	1,7	4,6	No Class	s	m	Thermo	Minegishi et al 2016	Micro Society	2016
Halobacterium litoreum	A	3,9	3,9	1,7	4,8	No Class	s	m		Lü et al 2017	Micro Society	2017
Natronoarchaeum persicum	A	3,5	3,5	2,5	4,5	No Class	s	m		Naghoni et al 2017	Micro Society	2017
Salinarchaeum chitinilyticum	A	2,6	3,1	1,5	5,1	No Class	s	m		Minegishi et al 2017	Micro Society	2017
Salinirussus salinus	A	3,4	3,4	2,6	4,8	No Class	s	m		Cui et al 2017	Micro Society	2017
Salinirubellus salinus	A	2,1	2,1	1,4	4,8	No Class	s	m		Hou et al 2018	Micro Society	2018
Halorussus litoreus	A	3,1	3,1	0,9	4,8	No Class	s	m		Han et al 2019	Micro Society	2019
Halostella limicola	A	3,1	3,1	1,7	4,8	No Class	s	m		Han et al 2019	Micro Society	2019
Haloarcula quadrata	A	3,9	3,9	2,7	4,3	No Class	s	m		Oren et al. 1999/Bowers e Wiegel 2011		
Methanogenium frigidum	A	0,35	0,6	0,1	0,85	Slight	s	m	Frio	Franzmann et al. 1997	Micro Society	1997
Alcanivorax jadensis	B	0,51	0,51	0,08	2,57	Slight	s	m		Bruns and Berthe-Corti 1999 / Fernandés-Martinéz et al 2003	Micro Society	1999
Dethiosulfovibrio russensis	B	0,34	0,34	0,08	1,2	Slight	s	m		Surkov et al 2001	Micro Society	2001
Halomonas halocynthiae	B	0,51	1,03	0,08	2,57	Slight	s	m		Romanenko et al. 2002	Micro Society	2002
Alteromonas addita	B			0,17	1,71	Slight	s	m		Ivanova et al. 2002	Micro Society	2002
Paraglaciecola mesophila	B	0,34	0,86	0,17	1,37	Slight	s	m		Romanenko et al. 2003 / Shivaji and Reddy 2014	Micro Society	2003
Erythrobacter flavus	B	0,34	0,86	0,17	2,39	Slight	s	m		Yoon et al. 2003	Micro Society	2003
Shewanella gaetbuli	B	0,34	0,34	0	1,37	Slight	s	m		Yoon et al. 2004	Micro Society	2004
Bacillus hwajinpoensis	B	0,34	0,86	0,08	3,25	Slight	s	m		Yoon et al. 2004	Micro Society	2004
Alteromonas litorea	B	0,34	0,86	0,08	2,39	Slight	s	m		Yoon et al. 2004	Micro Society	2004
Microbulbifer maritimus	B	0,34	0,68	0,08	1,71	Slight	s	m		Yoon et al. 2004	Micro Society	2004
Marinobacter flavimaris	B	0,34	1,03	0,08	3,42	Slight	s	m		Yoon et al. 2004	Micro Society	2004
Marinobacter daepoensis	B	0,34	1,03	0,08	3,08	Slight	s	m		Yoon et al. 2004	Micro Society	2004
Pseudoalteromonas aliena	B	0,51	1,03	0,08	1,71	Slight	s	m		Ivanova et al. 2004	Micro Society	2004
Shewanella marisflavi	B	0,34	0,51	0,08	1,54	Slight	s	m		Yoon et al. 2004	Micro Society	2004
Shewanella aquimarina	B	0,34	0,51	0,08	1,54	Slight	s	m		Yoon et al. 2004	Micro Society	2004
Porphyrobacter donghaensis	B	0,34	0,34	0,08	1,2	Slight	s	m		Yoon et al. 2004	Micro Society	2004
Erythrobacter aquimaris	B	0,34	0,17	0,08	1,71	Slight	s	m		Yoon et al. 2004	Micro Society	2004
Halolactibacillus halophilus	B	0,34	0,51	0	4,37	Slight	s	m		Ishikawa et al. 2005	Micro Society	2005
Erythrobacter seohaensis	B	0,34	0,51	0,08	1,54	Slight	s	m		Yoon et al. 2005	Micro Society	2005
 Erythrobacter gaetbuli	B	0,34	0,51	0,08	1,54	Slight	s	m		Yoon et al. 2005	Micro Society	2005
Sphingopyxis flavimaris	B	0,34	0,51	0,08	1,37	Slight	s	m		Yoon et al. 2005	Micro Society	2005
Erythrobacter luteolus	B	0,34	0,34	0,08	1,54	Slight	s	m		Yoon et al. 2005	Micro Society	2005
Sphingopyxis baekryungensis	B	0,34	0,34	0,08	1,71	Slight	s	m		Yoon et al. 2005	Micro Society	2005
Photobacterium aplysiae	B	0,51	0,51	0,17	0,86	Slight	s	m		Seo et al. 2005	Micro Society	2005
Methanococcoides alaskense	A	0,3	0,4	0,1	0,8	Slight	s	m		Singh et al. 2005	Micro Society	2005
Psychrobacter aquimaris 	B	0,34	0,51	0	2,05	Slight	s	m		Yoon et al. 2005	Micro Society	2005
Psychrobacter namhaensis	B	0,34	0,51	0	2,22	Slight	s	m		Yoon et al. 2005	Micro Society	2005
Photobacterium frigidiphilum	B	0,26	0,26	0,17	0,6	Slight	s	m	Psychro	Seo et al. 2005	Micro Society	2005
Virgibacillus dokdonensis	B	0,68	0,86	0	3,94	Slight	s	m		Yoon et al. 2005	Micro Society	2005
Maribacter dokdonensis	B	0,34	0,51	0,08	1,71	Slight	s	m		Yoon et al. 2005	Micro Society	2005
Psychrobacter celer	B	0,34	0,51	0	2,74	Slight	s	m		Yoon et al 2005	Micro Society	2005
Bacillus litoralis	B	0,34	0,51	0,08	1,88	Slight	s	m		Yoon and Oh 2005	Micro Society	2005
Jannaschia seosinensis	B	0,86	1,71	0,17	3,42	Slight	s	m		Choi et al. 2006	Micro Society	2006
Methanosarcina baltica	A	0,3	0,4	0,1	0,7	Slight	s	m		Singh et al. 2006	Micro Society	2006
Muricauda flavescens	B	0,34	0,34	0,01	1,54	Slight	s	m		Yoon et al. 2006	Micro Society	2006
Dokdonia donghensis 	B	0,34	0,34	0,08	1,2	Slight	s	m		Yoon et al 2006	Micro Society	2006
Nesterenkonia jeotgaki	B	0,34	0,86	0	2,74	Slight	s	m		Yoon et al. 2006	Micro Society	2006
Rhodovulum marinum	B	0,08	0,51	0,01	1,37	Slight	s	m		Srinivas et al. 2006	Micro Society	2006
Polaribacter dokdonensis	B	0,34	0,34	0,08	1,03	Slight	s	m		Yoon et al. 2006	Micro Society	2006
Porphyrobacter dokdonensis	B	0,34	0,34	0	1,37	Slight	s	m		Yoon et al. 2006	Micro Society	2006
Pelagibaca bermudensis	B	0,51	0,51	0,04	2,57	Slight	s	m		Cho et al. 2006	Micro Society	2006
Thalassobius gelatinovorus	B					Slight	s	m		Arahal et al. 2007	Micro Society	2007
Muricauda aquimarina	B	0,34	0,34	0,01	1,54	Slight	s	m		Yoon et al. 2007	Micro Society	2007
Donghicola eburneus	B	0,34	0,34	0,08	2,05	Slight	s	m		Yoon et al. 2007	Micro Society	2007
Methylomicrobium japanense	B	0,4	0,8	0,03	1,5	Slight	s	m		Kalyuzhnaya et al 2008	Micro Society	2008
Methanohalophilus levihalophilus	A	0,35	0,4	0,2	1,3	Slight	s	m		Katayama et al 2014	Micro Society	2014
Methanocalculus halotolerans	A	0,86	0,86	0	2,14	Tolerant	s	m	Metanogênica	Ollivier et al. 1998	Micro Society	1998
Bacillus alkalidiazotrophicus	B	0,2	0,4	0,1	1,2	Tolerant	s	m		Sorokin et al 2008	Micro Society	2008
Methylomicrobium alcaliphilum	B			0	1,5	Tolerant	s	m	Alakli	Kalyuzhnaya et al 2008	Micro Society	2008
Natranaerobaculum magadiense	B	1,2	1,4	0	1,55	Tolerant	s	m	AlkaliThermo	Zavarzina et al 2013	Micro Society	2013
Methylobrevis pamukkalensis	B	0,085	0,085	0	1	Tolerant	s	m		Poroshina et al 2015	Micro Society	2015
Aspergillus olivimuriae	E					Tolerant	s	m		Crognale et al 2019	Micro Society	2019
Acidihalobacter aeolianus	B	0,428	0,428	0,06	1,283	Tolerant	s	m	Acido	Khaleque et al 2019	Micro Society	2019
Acidihalobacter ferrooxydans	B	0,428	0,428	0,06	0,856	Tolerant	s	m	Acido	Khaleque et al 2019	Micro Society	2019
Vibrio costicolus	B	1,2	1,2	0,4	3,8	No Class	s	m		Flannery 1953		1953
Ocenanomonas enteritidis	B	0,514	0,514	0	1,284	No Class	s	m		Miyamoto et al. 1961		1961
Oceanomonas parahemolytica	B	0,514	0,514			No Class	s	m		Miyamoto et al. 1961		1961
Micrococcus halodurans	B	0	2,57	0	3,42	No Class	s	m		Buck, John 1965	Micro Society	1965
Dunaliella salina	E	1,71	2,57	0,15	3,42	No Class	s	m		Kushner 1967 / Oren 2014		1967
Dunaliella viridis	E	0,8	2	0,15	3,42	No Class	s	m		Kushner 1967 / Johnsonet al. 1968 / Oren 2014		1967
Halobacterium volcanii	A	1,7	2,5	1	5	No Class	s	m		Mullakhanbhai et al. 1975	Micro Society	1975
Nitrosococcus mobilis	B	0,171	0,171	0,017	0,685	No Class	s	m		Koops et al. 1976		1976
Haloarcula vallismortis	A	4,281	4,281	1,712	4,281	No Class	s	m		Prüss et al. 1993 / Gonzalez et al. 1978		1978
Bacillus globisporus marinus	B	3	3,5	0	7	No Class	s	p	Sim	Ruger and Richter 1979	Micro Society	1979
Vibrio parahaemolyticus	B					No Class	s	m		Palasumtheram 1981	Micro Society	1981
Vibrio parahaemolyticus	B	0,5	0,5	0,1	1,2	No Class	s	m		Honda et al. 2008 / Joseph et al. 1982		1982
Clostridium lortetii	B	1,4	1,5	1	2	No Class	s	m		Oren 1983		1983
Vibrio alginolyticus	B	2,22	2,22	0	2,57	No Class	s	m		Emond et al. 1983	Micro Society	1983
Rhodococcus marinonascens	B					Moderate	s	m		Helmke and Weyland 1984	Micro Society	1984
Haloarcula hispanica	A	3,9	3,9	2,5	5,2	No Class	s	m		Juez et al. 1986		1986
Halomethanococcus doii	A	3	3	1,8	3,425	No Class	s	m		Yu e Kawamura 1986		1986
Hansenula anomola	E	1,369	1,369			No Class	s	m		Kagiyama et al. 1987		1987
Methanohalophilus zhilinae	B	0,7	0,7	0,20	2,10	No Class	s	m		Mathrani et al. 1988	Micro Society	1988
Polypaecilum pisce	E					No Class	s	m		Wheeler et al. 1988	Micro Society	1988
Basipetospora halophila	E					No Class	s	m		Wheeler et al. 1988	Micro Society	1988
Salimicrobium halophilum	B	2,568	2,568	0,514	5,137	No Class	s	m		Ventosa et al. 1989 / Ventosa et al. 1998 / Yoon et al 2007	Micro Society	1989
Ectothiorhodospira mobilis	B	0,86	0,86		3,42	No Class	s	m		Imhoff e Riedel 1989	Micro Society	1989
Haloarcula marismortui	A	3,7	3,7	1,7	5,1	No Class	s	m		Mylvaganam e Denis 1992 / Oren et al. 1990 / Bowers e Wiegel 2011		1990
Marinococcus hispanicus	B	1,71	1,71	0,08	4,23	No Class	s	m		Marquez et al. 1990	Micro Society	1990
Halomonas meridiana	B					No Class	s	m		James et al. 1990	Micro Society	1990
Volcaniella eurihalina	B	1,28	1,28	0,43	4,28	No Class	s	m		Quesada et al. 1990	Micro Society	1990
Methanohalophilus halophilus	B			0,3	2,6	No Class	s	m		Wilham et al. 1991	Micro Society	1991
Methanohalophilo halophilus	A	1,2	1,5	0,3	2,6	No Class	s	m		Wilharm et al. 1991		1991
Methanohalobium evestigatum	A	4,3	4,3	2,6	5,1	No Class	s	m		Wilharm et al. 1991		1991
Deleya salina	B	1,28		0,43	3,42	No Class	s	m		Valderrama et al. 1991	Micro Society	1991
Desulfohalobium retbaense	B	1,71	1,71	0	4,11	No Class	s	m		Ollivier et al. 1991	Micro Society	1991
Halobacterium cutirubrum	A					No Class	s	m		Mylvaganam e Denis 1992		1992
Aspergillus repens	E	0	0	0	2	No Class	s	m		Kelavkar e Chhatpar 1993		1993
Methanohalophilus portucalensis	B	2	2	0,5	2,5	No Class	s	m		Boone et al. 1993	Micro Society	1993
Nocardiopsis halophila	B	2,568	2,568	0,856	3,425	No Class	s	m		Al-Tai et al. 1994 / Ventosa et al. 1998		1994
Haloanaerobiurn salsugo	B	1,541	1,541	1,027	4,109	No Class	s	m		Bhupathiraju et al. 1994		1994
Halothermothethrix orenii	B	1,712	1,712	0,685	3,425	No Class	s	m		Cayol et al. 1994		1994
Methanolobus taylorii	B			0,2	1,2	No Class	s	m		Oremland et al. 1994	Micro Society	1994
Saccharomonospora halophila	B	1,71	2,57	0,86	3,42	No Class	s	m		Ruan et al.1994 / Tang et al 2011	Micro Society	1994
Halocccus salifodinae	A	3,42	4,28	2,57		No Class	s	m		Denner et al. 1994	Micro Society	1994
Photobacterium histaminium	B	0,34	0,34			No Class	s	m		Okuzumi et al. 1994	Micro Society	1994
Haloincola saccharolytica	B	1,28	2,14	0,51	5,13	No Class	s	m		Cayol et al. 1994	Micro Society	1994
Halorubrum lacusprofundi	A	3,5	3,5	1		No Class	s	m		DasSarma et al. 2013 / McGenty e Grant 1995		1995
Rhodovulum strictum	B	0,14		0,09	0,51	No Class	s	m		Hiraiashi e Ueda 1995	Micro Society	1995
Haloanaerobium alcaliphilum	B	1,71	1,71	0,43	2,57	No Class	s	m		Tsai et al. 1995	Micro Society	1995
Halobacillus trueperi	B	1,712	1,712	0,086	5,137	No Class	s	m		Spring et al. 1996 / Ventosa et al. 1998		1996
Halobacillus litoralis	B	1,712	1,712	0,086	4,281	No Class	s	m		Spring et al. 1996		1996
Desulfovibrio gabonensis	B	0,86	1,03	0,17	2,91	No Class	s	m		Tardy-Jacquenod et al. 1996	Micro Society	1996
Salibacillus salexigens	B	1,712	1,712	1,199	3,425	No Class	s	m		Garabito et al. 1997 / Ventosa et al. 1998		1997
Thermonema rossianum	B	0,51	0,51	0	1,03	No Class	s	m		Tenreiro et al. 1997	Micro Society	1997
Dethiosulfovibrio peptidovorans	B	0,51	0,51	0	1,88	No Class	s	m		Magot et al. 1997	Micro Society	1997
Desulfovibrio profundus 	B	0,1	1,37	0,03	1,71	No Class	s	m		Bale et al. 1997	Micro Society	1997
Tetragenococcus muriaticus	B	1,199	1,712	0,171	4,281	No Class	s	m		Kubayashi et al. 2003 / Ventosa et al. 1998		1998
Halomonas enlongata	B	0,599	1,369	0,005	3,596	No Class	s	m	0,984	Margesin e Schinner 2001 / Ventosa et al. 1998		1998
Halomonas subglaciescola	B			0,086	3,425	No Class	s	m		Ventosa et al. 1998		1998
Cobetia marina	B	1,369	1,369	0,599	3,425	No Class	s	m		Ventosa et al. 1998 / Romanenko et al 2013	Micro Society	1998
Halomonas halmophila	B			0,085	3,425	No Class	s	m		Ventosa et al. 1998		1998
Halomonas eurihalina	B	1,284	1,284	0,856	3,425	No Class	s	m		Ventosa et al. 1998		1998
Halomonas halophila	B	1,284	1,284	0,342	5,137	No Class	s	m		Ventosa et al. 1998		1998
Halomonas salina	B	0,856	0,856	0,428	3,425	No Class	s	m		Ventosa et al. 1998		1998
Halomonas halodenitrificans	B	0,856	1,541	0,514	3,425	No Class	s	m		Ventosa et al. 1998		1998
Halomonas variablis	B	1,712	1,712	1,199	4,795	No Class	s	m		Ventosa et al. 1998		1998
Marinospirillum megaterium	B	0,51	0,51	0,08	1,54	No Class	s	m		Satomi et al. 1998	Micro Society	1998
Desulfotomaculum halophilum	B	1,03	1,03	0,17	2,39	No Class	s	m		Tardy-Jacquenod et al. 1998	Micro Society	1998
Glaciecola punicea	B					No Class	s	m	Frio	Bowman et al. 1998	Micro Society	1998
Glaciecola pallidula	B					No Class	s	m	Frio	Bowman et al. 1998	Micro Society	1998
Haloanaerobiurn kushneri	B	2,05	2,05	1,54	3,08	No Class	s	m		Bhupathiraju et al. 1999	Micro Society	1999
Haloanaerobacter salinarus	B	2,39	2,57	0,85	5,13	No Class	s	m		Mouné et al. 1999	Micro Society	1999
Marinobacter aquaeolei	B	0,85	0,85	0	3,42	No Class	s	m		Huu etal. 1999	Micro Society	1999
Shewanella oneidensis	B	0	0	0	0,51	No Class	s	m		Burgherdt et al. 1999	Micro Society	1999
Desulfocella halophila	B	0,68	0,86	0,34	3,25	No Class	s	m		Brandt et al. 1999	Micro Society	1999
Thermohalobacter barrensis	B	0,86	0,86	0,34	2,57	No Class	s	m		Cayol et al. 2000	Micro Society	2000
Haloanaerobium fermentans	B	1,71	1,71	1,2	4,28	No Class	s	m		Kabayashi et al. 2000	Micro Society	2000
Methylarcula marina	B	0,51	1,37	0,01	2,05	No Class	s	m		Doronina et al 2000	Micro Society	2000
Methylarcula terricola	B	0,51	1,02	0,01	2,39	No Class	s	m		Doronina et al 2000	Micro Society	2000
Flavobacterium gillisiae	B	0	0	0	0,86	No Class	s	m		McCamon and Bowman 2000	Micro Society	2000
Flavobacterium xanthum	B					No Class	s	m		McCamon and Bowman 2000	Micro Society	2000
Tetragenococcus halophilus	B	3,082	3,082			No Class	s	m		Kubayashi et al. 2003		2003
Haloferax mediterranei	A	3	3	1	5,2	No Class	s	m		Perez-Pomares et al. 2005 /Pérez-Pomares et al. 2003 / Bowers e Wiegel 2011		2003
Hortaea werneckii	E	0,856	0,856	0	4,281	No Class	s	m		Kogej et al. 2005		2005
Aureobasidium pullulans	E	0	0	0	3,425	No Class	s	m		Kogej et al. 2005		2005
Haladaptatus paucihalophilus	A	2,6	3,1	0,8	5,1	No Class	s	m	Água destilada	Bowers e Wiegel 2011 / Savage et al.2007	Micro Society	2007
Halococcus qingdaonensis	A	3,06	3,06	1,71		No Class	s	m		Bowers e Wiegel 2011 / Wang et al 2007	Micro Society	2007
Aquibacillus elongatus	B	1,71	1,71	0,51	3,42	No Class	s	m		Marquéz et al. 2008	Micro Society	2008
Wallemia ichthyophaga	E			1,541	5,137	No Class	s	m		Kuncic et al. 2009		2009
Wallemia muriae	E			0,685	4,281	No Class	s	m		Kuncic et al. 2009		2009
Wallemia sebi	E			0	4,623	No Class	s	m		Kuncic et al. 2009		2009
Natronococcus amylolyticus	A	3,1	3,1	1,46	5,1	No Class	s	m		Bowers e Wiegel 2011		2011
Halorubrum trapanicum	A			2,5	5,2	No Class	s	m		Bowers e Wiegel 2011		2011
Halomonas anticariensis	B					No Class	s	m		Tahrioui et al. 2011	Micro Society	2011
Bacillus subtilis NRC-B233bck	B	0,685	0,685	0	2,055	No Class	s	m		Esawy et al. 2012		2012
Halorhodospira halophila 	B	2,568	5,993	0,599	5,993	No Class	s	m		Deole et al. 2013		2013
Halorhodospira halochloris	B	2,568	4,281	0,599	5,993	No Class	s	m		Deole et al. 2013		2013
Alkalispirochaeta americana	B	0,51	0,51	0,34	2,05	No Class	s	m		Shivani et al. 2015 / Sravanthi et al 2016	Micro Society	2015
Halorubrum persicum	A	3,42	3,42	2,57	5,14	No Class	s	m		Corral et al. 2015	Micro Society	2015
Haloterrigena thermotolerans	A	3	3,5	2	4,3	No Class	s	m		Montalvo-Rodríguez et al. 2000	Micro Society	2000
Dentryphiella salina	E					No Class	s	m		ref 12		
Aspergillus flavus	E					No Class	s	m				
Penicillium roquefortii	E					No Class	s	m				
Actinoployspora halophila	B					No Class	s	m				
Halomonas pantelleriense	B	1,712	1,712	0,205	2,568	No Class	s	m		Ventosa et al. 1998		
Chromohalobacter marismortui	B	1,712	1,712	0,171	5,137	No Class	s	m		Ventosa et al. 1998 / Ventosa et al 1989	Micro Society	1989
Salinivibrio costicola	B	1,712	1,712	0,086	2,055	No Class	s	m		Ventosa et al. 1998		
Pseudomonas halophila	B	0,856	0,856	0,017	3,425	No Class	s	m		Ventosa et al. 1998		
Psychroflexus gondwanense	B	0,856	0,856	0	0,856	No Class	s	m	Frio	Ventosa et al. 1998 / Bowman et al.1998		
Salegentibacter salegens	B	0,856	0,856	0	3,435	No Class	s	m		Ventosa et al. 1998		
Arhodomonas aquaeolei	B	2,568	2,568	1,027	3,435	No Class	s	m		Ventosa et al. 1998 / Adkins et al. 1993		
Spirochaeta halophila	B	0,856	0,856	0,086	1,369	No Class	s	m		Ventosa et al. 1998		
