Espécie	Domínio	Mínimo opt	Máximo opt	Mínimo sup	Máximo sup	Classificação	Sal é NaCl?	Unidade	Checado?	Referência	journal	Ano
Halorubrum kocurii	A	3,4	3,4	2,5	5	Extreme	s	m		Bowers e Wiegel 2011 / Gutiérrez et al 2008	Micro Society	2008
Haloterrigena salina	A	3,4	3,4	2,5	5	Extreme	s	m		Bowers e Wiegel 2011 / Gutiérrez et al 2008	Micro Society	2008
Halomicrobium katesii	A	4,3	4,3	3,4	5,2	Extreme	s	m		Kharroub et al 2008	Micro Society	2008
Thiohalorhabdus denitrificans	B	3	3	2	5	Extreme	s	m		Sorokin et al 2008	Micro Society	2008
Haloferax elongans	A	2,6	3,4	1,7	5,1	Extreme	s	m		Allen et al 2008	Micro Society	2008
Haloferax mucosum	A	2,6	3,4	1,7	5,1	Extreme	s	m		Allen et al 2008	Micro Society	2008
Desulfonatronospira thiodismutans	B	2	2,5	1,5	4	Extreme	Na+	m	alkali	Sorokin et al 2008	Micro Society	2008
Desulfonatronospira delicata	B	1	1	0,8	3,5	Extreme	n	m	alkali	Sorokin et al 2008	Micro Society	2008
Haloterrigena jeotgali	A	3,1	3,1	1,7	5,137	Extreme	s	m		Quadri et al. 2016 / Bowers e Wiegel 2011/Roh et al 2009	Micro Society	2009
Halorubrum chaoviator	A	4,3	4,3	2	5	Extreme	s	m		Bowers e Wiegel 2011/Mancinelli et al 2009	Micro Society	2009
Natronovirga wadinatrunensis	B	3,9	3,9	3,1	5,3	Extreme	Na+	m		Mesbah et al 2009	Micro Society	2009
Haloterrigena daqingensis	A	2	2,5	1,7	5,137	Extreme	s	m		Quadri et al. 2016 / Wang et al 2010	Micro Society	2010
Halopiger aswanensis	A	3,8	4,3	1,7	5,137	Extreme	s	m		Quadri et al. 2016 / Hezayen et al 2010	Micro Society	2010
Haladaptatus litoreus	A	3,4	3,4	1,7	5,1	Extreme	s	m		Bowers e Wiegel 2011/Cui et al 2010	Micro Society	2010
Halogranum rubrum	A	3,9	3,9	2,6	4,3	Extreme	s	m		Bowers e Wiegel 2011/ Cui et al 2010	Micro Society	2010
Natronorubrum sediminis	A	3,4	3,4	2,5	5	Extreme	s	m	Alkali	Bowers e Wiegel 2011 / Gutiérrez et al 2010	Micro Society	2010
Haloplanus vescus	A	3,1	3,1	2,6	4,3	Extreme	s	m		Cui et al 2010	Micro Society	2010
Natronoarchaeum mannanilyticum	A	4	4,5	2	5,3	Extreme	s	m		Shimane et al 2010	Micro Society	2010
Halogranum gelatinilyticum	A	3,4	3,9	1,7	5,1	Extreme	s	m		Cui et al 2011	Micro Society	2011
Halogranum amylolyticum	A	3,4	3,4	1,4	5,1	Extreme	s	m		Cui et al 2011	Micro Society	2011
Halolamina pelagica	A	3,4	3,9	1,4	5,1	Extreme	s	m		Cui et al 2011	Micro Society	2011
Halomarina oriensis	A	2,6	2,6	1,7	5	Extreme	s	m		Inoue et al 2011	Micro Society	2011
Haloplanus aerogenes	A	2,1	2,1	1,4	5,1	Extreme	s	m		Cui et al 2011	Micro Society	2011
Salarchaeum japonicum	A	2,5	3	1,5	5,3	Extreme	s	m		Shimane et al 2011	Micro Society	2011
Halopenitus persicus	A	3	3			Extreme	s	m		Amoozegar et al 2012	Micro Society	2012
Halovenus aranensis	A	4	4	2,5	5	Extreme	s	m		Makhdoumi-Kakhki et al 2012	Micro Society	2012
Salinibacter iranicus	B	3	3	2	5	Extreme	s	m		Makhdoumi-Kakhki et al 2012	Micro Society	2012
Salinibacter luteus	B	3	3	2	5	Extreme	s	m		Makhdoumi-Kakhki et al 2012	Micro Society	2012
Halolamina salifodinae	A	3,4	3,9	1,6	5,4	Extreme	s	m		Zhang et al 2013	Micro Society	2013
Halolamina salina	A	3,4	3,4	1,9	5,4	Extreme	s	m		Zhang et al 2013	Micro Society	2013
Halopelagius longus	A	3	3,5	1,8	6	Extreme	s	m	Thermo	Zhang et al 2013	Micro Society	2013
Halopenitus malekzadehii	A	3,5	3,5	1,7	5	Extreme	s	m		Amoozegar et al 2013	Micro Society	2013
Halopiger salifodinae	A	2,9	3,4	1,9	5,4	Extreme	s	m		Zhang et al 2013	Micro Society	2013
Limimonas halophila	B	3,4	3,4	2,5	5,2	Extreme	s	m		Amoozegar et al 2013	Micro Society	2013
Halorientalis persicus	A	4,3	4,3	2,5	5	Extreme	s	m		Amoozegar et al 2014	Micro Society	2014
Halosimplex pelagicum	A	3,4	3,4	1,4	4,8	Extreme	s	m		Han and Cui 2014	Micro Society	2014
Halosimplex rubrum	A	3,1	3,1	0,9	3,4	Extreme	s	m		Han and Cui 2014	Micro Society	2014
Halovivax limisalsi	A	4,3	4,3	2,5	5,1	Extreme	s	m		Amoozegar et al 2014	Micro Society	2014
Salinigranum rubrum	A	3,1	3,1	1,4	4,8	Extreme	s	m		Cui and Zhang 2014	Micro Society	2014
Halovarius luteus	A	4	4	2,5	5	Extreme	s	m		Mehrshad et al 2015	Micro Society	2015
Halovivax cerinus	A	3,4	3,4	2,5	5,1	Extreme	s	m		Amoozegar et al 2015	Micro Society	2015
Natribaculum breve	A	2,6	2,6	0,9	5,1	Extreme	s	m		Liu et al 2015	Micro Society	2015
Natribaculum longum	A	3,4	3,4	0,9	5,1	Extreme	s	m		Liu et al 2015	Micro Society	2015
Halanaeroarchaeum sulfurireducens	A	4	4	3	5	Extreme	s	m		Sorokin et al 2016	Micro Society	2016
Haloarchaeobius baliensis	A	2,6	2,6	1,7	5,1	Extreme	s	m		Mori et al 2016	Micro Society	2016
Halobium palmae	A	2,6	2,6	1,7		Extreme	s	m		Mori et al 2016	Micro Society	2016
Haloparvum sedimenti	A	2,6	3,4	1,7	5,1	Extreme	s	m		Chen et al 2016	Micro Society	2016
Halorubrum pallidum	A	3,4	3,4	2,6	5,1	Extreme	s	m		Chen et al 2016	Micro Society	2016
Halosiccatus urmianus	A	4	4	2,5	5	Extreme	s	m		Mehrshad et al 2016	Micro Society	2016
Salinigranum salinum	A	2,6	2,6	0,9	4,8	Extreme	s	m		Wang et al 2016	Micro Society	2016
Haloplanus salinarum	A	3,1	3,1	2,5	4,5	Extreme	s	m		Hwang et al 2017	Micro Society	2017
Haloprofundus marisrubri	A	3,5	4,3	1,2	5,8	Extreme	s	m		Zhang et al 2017	Micro Society	2017
Haloterrigena mahii	A	3,5	5	2	5,1	Extreme	s	m		Ding et al 2017	Micro Society	2017
Natrinema soli	A	4	4	3	4,5	Extreme	s	m		Rasooli et al 2017	Micro Society	2017
Natronotalea proteinilytica	B	2,5	3	2	4,5	Extreme	Na+	m	Alkali	Sorokin et al 2017	Micro Society	2017
Longimonas haloalkaliphila	B	2,5	3	2	4,8	Extreme	Na+	m	Alkali	Sorokin et al 2018	Micro Society	2018
Methanonatronarchaeum thermophilum	A	4	4	3	4,8	Extreme	Na+	m		Sorokin et al 2018	Micro Society	2018
Natrarchaeobaculum aegyptiacus	A	3,25	4,62	2,57	6,16	Extreme	s	m	Alaklithermo	Zhao et al 2018 / Sorokin et al 2020	Micro Society	2018
Haloarcula sebkhae	A	4,3	5,1	1,7	5,1	Extreme	s	m		Barreteau et al 2019	Micro Society	2019
Halococcoides cellulosivorans	A	3,5	4	2,5	5	Extreme	s	m		Sorokin et al 2019	Micro Society	2019
Natrarchaeobaculum sulfurireducens	A	3,5	4	2,5	5	Extreme	Na+	m	Alkali	Sorokin et al 2019 / Sorokin et al 2020	Micro Society	2019
Natranaerobius thermophilus	B	3,3	3,9	3,1	4,9	Extreme	s	m		Mesbah et al. 2007		
Natrialba aegyptia	A	2,75	2,75	1,6	5,137	Extreme	s	m		Quadri et al. 2016		
Natrinema altunense	A	3	4,3	1,7	5,137	Extreme	s	m		Quadri et al. 2016 / Bowers e Wiegel 2011 / Xu et al. 2005		
Natrialba taiwanensis	A	3,5	3,5	2	5,137	Extreme	s	m		Quadri et al. 2016 / Bowers e Wiegel 2011		
Halobacterium salinarum	A	3,4	4,3	2,6	5,1	Extreme	s	m		Bowers e Wiegel 2011 / Yachai et al 2008 / Good et al 1970 / Minegishi et al 2012		
Halococcus dombrowskii	A	3,9	3,9	2,55	6	Extreme	s	m		Bowers e Wiegel 2011/Stan-Lotter et al. 2002		
Natrialba chahannaoensis	A	2,6	2,6	1,7	5,1	Extreme	s	m		Bowers e Wiegel 2011		
Virgibacillus halodenitrificans	B	0,5	1,35	0,35	4,25	Moderate	s	m		Denariaz et al. 1989/Yoon et al. 2004	Micro Society	1989
Psychroflexus torquis	B	0,4	0,4	0,25	0,8	Moderate	s	m	Frio	Bowman et al. 1998	Micro Society	1998
Chromohalobacter salexigens	B	1,284	1,712	0,154	4,281	Moderate	s	m		Arahal et al. 2001	Micro Society	2001
Alcalilimnicola halodurans	B	0,51	1,37	0	4,79	Moderate	s	m		Yakimov et al. 2001	Micro Society	2001
Jeotgalibacillus alimentarius	B	0,51	2,05	0,51	3,42	Moderate	s	m		Yoon et al. 2001	Micro Society	2001
Thioalkalispira microaerophila	B	0,5	0,5	0,2	1,4	Moderate	Na+	m	Alcalino, microaerobiose, oligotrofia	Sorokin et al. 2002	Micro Society	2002
Lentibacillus salicampi 	B	0,68	1,37	0,53	3,94	Moderate	s	m		Yoon et al. 2002	Micro Society	2002
Halomonas alimentaria	B	0,17	2,22	0,08	3,94	Moderate	s	m		Yoon et al. 2002	Micro Society	2002
Salinicoccus alkaliphilus	B	1,71	1,71	0	4,28	Moderate	s	m	alkali	Zhang et al. 2002	Micro Society	2002
Saccharomonospora paurometabolica	B	1,71	1,71	0,86	3,42	Moderate	s	m		Li et al. 2003	Micro Society	2003
Halobacillus karajensis	B	1,71	1,71	0,17	4,11	Moderate	s	m		Amoozegar et al. 2003	Micro Society	2003
Methylophaga alcalica	B	0,51	0,68	0,01	1,71	Moderate	s	m	Alkali	Doronina et al. 2003	Micro Society	2003
Marinobacter litoralis	B	0,34	1,2	0,08	3,08	Moderate	s	m		Yoon et al. 2003	Micro Society	2003
Jeotgalicoccus halotolerans	B	0,34	0,86	0,08	2,39	Moderate	s	m	Frio	Yoon et al. 2003	Micro Society	2003
Microbulbifer salipaludis	B	0,34	0,51	0,08	1,71	Moderate	s	m		Yoon et al. 2003	Micro Society	2003
Psychrobacter jeotgali	B	0,34	0,51	0	1,71	Moderate	s	m		Yoon et al. 2003	Micro Society	2003
Prauserella halophilia	B	1,71	2,57	0,86	4,28	Moderate	s	m		Li et al. 2003	Micro Society	2003
Prauserella alba	B	1,71	2,57	0	4,28	Moderate	s	m		Li et al. 2003	Micro Society	2003
Bacillus marisflavi 	B	0,34	0,86	0	2,74	Moderate	s	m		Yoon et al 2003	Micro Society	2003
Bacillus aquimaris	B	0,34	0,86	0	3,08	Moderate	s	m		Yoon et al 2003	Micro Society	2003
Alteromonas marina	B	0,34	0,86	0	2,57	Moderate	s	m		Yoon et al 2003	Micro Society	2003
Oceanisphaera litoralis	B	0,17	0,51	0,08	1,71	Moderate	s	m		Romanenko et al. 2003	Micro Society	2003
