Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Flavobacterium fluminis	B	0	0	0	3	Tolerant	s	p	Ahn et al 2017	2017	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Thermobacillus composti	B	0	0	0	4,4	Tolerant	s	p	Watanabe et al 2007	2007	Thermobacillus	Paenibacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Brevibacillus humidisoli	B	0	0	0	6	Tolerant	s	p	Lee et al 2023	2023	Brevibacillus	Paenibacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Lysinibacillus parviboronicapiens	B	0	0	0	6	Tolerant	s	p	Miwa et al 2009	2009	Lysinibacillus	Caryophanaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Microbacterium sediminis	B	0	0	0	8	Tolerant	s	p	Yu et al 2013	2013	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Oceanobacillus piezotolerans	B	0	0	0	9	No Class	s	p	Yu et al 2019	2019	Oceanobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Stakelama algicida	B	0	0	0	11	Tolerant	s	p	Kristyanto et al 2018	2018	Stakelama	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Gracilibacillus halotolerans	B	0	0	0	20	Tolerant	s	p	Waino et al 1999	1999	Gracilibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Thiorhodospira sibirica	B	0	0	0	60	Tolerant	s	g	Bryantseva et al 1999	1999	Thiorhodospira	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Thiovirga sulfuroxydans	B	0,03	0,03	0	0,18	Tolerant	s	m	Ito et al 2005	2005	Thiovirga	Halothiobacillaceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Methylobrevis pamukkalensis	B	0,085	0,085	0	1	Tolerant	s	m	Poroshina et al 2015	2015	Methylobrevis	Pleomorphomonadaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Desulfobulbus alkaliphilus	B	0,2	0,2	0,1	1,5	Moderate	Na+	m	Sorokin et al 2012	2012	Desulfobulbus	Desulfobulbaceae	Desulfobacterales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Thermoflavifilum aggregans	B	0,1	0,25	0	5	Slight	s	p	Anders et al 2014	2014	Thermoflavifilum	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota	Pseudomonadati
Natronoglycomyces albus	B	0,1	0,3	0,1	3	Tolerant	Na+	m	Sorokin et al 2021	2021	Natronoglycomyces	Glycomycetaceae	Glycomycetales	Actinomycetes	Actinomycetota	Bacillati
Methanobacterium ferruginis	A	0,34	0,34	0	1,2	No Class	s	m	Mori and Haeayama 2011	2011	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Methanobacteriota	Methanobacteriati
Methanosarcina baltica	A	0,3	0,4	0,1	0,7	Slight	Na+	m	Singh et al. 2005	2006	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Methanococcoides alaskense	A	0,3	0,4	0,1	0,8	Slight	s	m	Singh et al. 2005	2005	Methanococcoides	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Methanoculleus marisnigri	A	0,1	0,4	0	1	Tolerant	Na+	m	Maestrojuán et al 1990	1990	Methanoculleus	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Methanobacteriota	Methanobacteriati
Anaerobacillus alkalidiazotrophicus	B	0,2	0,4	0,1	1,2	Tolerant	Na+	m	Sorokin et al 2008 / Zavarzina et al 2010	2008	Anaerobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Subsaxibacter broadyi	B	0,3	0,4	0,1	1,25	No Class	s	m	Bowman et al. 2005	2005	Subsaxibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Methanohalophilus levihalophilus	A	0,35	0,4	0,2	1,3	Slight	s	m	Katayama et al 2014	2014	Methanohalophilus	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Thioalkalivibrio sulfidiphilus	B	0,4	0,4	0,2	1,5	Tolerant	Na+	m	Sorokin et al 2012 	2012	Thioalkalivibrio	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Dethiosulfovibrio faecalis	B	0,4	0,4	0	1,6	Tolerant	s	m	Grabowski et al 2022	2022	Dethiosulfovibrio	Dethiosulfovibrionaceae	Synergistales	Synergistia	Synergistota	Thermotogati
Lacinutrix copepodicola	B	0,3	0,4	0,1	2	No Class	s	m	Bowman et al. 2005	2005	Lacinutrix	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Subsaximicrobium saxinquilinus	B	0,3	0,4	0,1	2	No Class	s	m	Bowman et al. 2005	2005	Subsaximicrobium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Subsaximicrobium wynnwilliamsii	B	0,3	0,4	0,25	2	No Class	s	m	Bowman et al. 2005	2005	Subsaximicrobium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Thiomicrorhabdus heinhorstiae	B	0,41	0,41	0,08	0,689	Moderate	s	m	Updegraff et al 2022	2022	Thiomicrorhabdus	Piscirickettsiaceae	Beggiatoales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Acidihalobacter ferrooxydans 	B	0,428	0,428	0,06	0,856	Tolerant	s	m	Khaleque et al 2019	2019	Acidihalobacter	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Acidihalobacter aeolianus	B	0,428	0,428	0,06	1,283	Tolerant	s	m	Khaleque et al 2019	2019	Acidihalobacter	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Acidihalobacter yilgarnensis	B	0,428	0,428	0	1,283	Tolerant	s	m	Khaleque et al 2020	2020	Acidihalobacter	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Methanolobus oregonensis	A	0,48	0,48	0,1	1,6	Tolerant	Na+	m	Liu et al 1990 / Boone 2002	1990	Methanolobus	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Methanolobus vulcani	A	0,5	0,5	0,1	1,2	Slight	s	m	Kadam and Boone 1995	1995	Methanolobus	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Thioalkalispira microaerophila	B	0,5	0,5	0,2	1,4	Moderate	Na+	m	Sorokin et al. 2002	2002	Thioalkalispira	Thioalkalispiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Thioalkalivibrio nitratireducens	B	0,4	0,5	0,2	1,5	Moderate	Na+	m	Sorokin et al. 2003	2003	Thioalkalivibrio	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Methanohalophilus portucalensis	A	0,5	0,5	0,5	2	Moderate	s	m	Boone et al. 1993	1993	Methanohalophilus	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Methanolobus bombayensis	A	0,5	0,5	0,25	2	Slight	s	m	Kadam et al 1994	1994	Methanolobus	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Amphibacillus jilinensis	B	0,5	0,5	0	2,8	Tolerant	Na+	m	Wu et al 2010	2010	Amphibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Defluviitoga tunisiensis	B	0,5	0,5	0,2	3	Slight	s	p	Hania et al 2012	2012	Defluviitoga	Petrotogaceae	Petrotogales	Thermotogae	Thermotogota	Thermotogati
Thiohalobacter thiocyanaticus	B	0,5	0,5	0,2	3	Moderate	s	m	Sorokin et al 2010	2010	Thiohalobacter	Thiohalobacteraceae	Thiohalobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Desulfobaculum xiamenense	B	0,5	0,5	0,2	3,5	Moderate	s	p	Zhao et al 2012	2012	Desulfobaculum	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Tistlia consotensis	B	0,5	0,5	0	4	Slight	s	p	Díaz-Cárdenas et al 2010	2010	Tistlia	Rhodovibrionaceae	Rhodospirillales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Winogradskyella ulvae	B	0,5	0,5	0,5	4	Slight	s	p	Nedashkovskaya et al 2012	2012	Winogradskyella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Paenibacillus ripae	B	0,5	0,5	0	6	Tolerant	s	p	Sun et al 2015	2015	Paenibacillus	Paenibacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Nocardioides daedukensis	B	0	0,5	0	9	Tolerant	s	p	Yoon et al 2010	2010	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacillati
Bacillus halotolerans	B	0,5	0,5	0	12	Tolerant	Sea salts	p	Delaporte and Sasson 1967 / Ruiz-García et al 2005 / Tindall 2017	1967	Bacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Hydrogenovibrio marinus	B	0,5	0,5			No Class	s	m	Nishihare et al 1991	1991	Hydrogenovibrio	Piscirickettsiaceae	Beggiatoales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Methanococcoides vulcani	A	0,5	0,5			No Class	Na+	m	L'Haridon et al 2014	2014	Methanococcoides	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Methanolobus halotolerans	A	0,51	0,51	0	1,55	Tolerant	s	m	Shen et al 2020	2020	Methanolobus	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Methanogenium frigidum	A	0,35	0,6	0,1	0,85	Slight	Na+	m	Franzmann et al. 1997	1997	Methanogenium	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Methanobacteriota	Methanobacteriati
Desulfonatronobacter acidivorans	B	0,6	0,6	0,2	1,5	Moderate	Na+	m	Sorokin et al 2012	2012	Desulfonatronobacter	Desulfobacteraceae	Desulfobacterales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Methanocalculus alkaliphilus	A	0,6	0,6	0,2	1,5	Tolerant	Na+	m	Sorokin et al 2015	2015	Methanocalculus	Methanocalculaceae	Methanomicrobiales	Methanomicrobia	Methanobacteriota	Methanobacteriati
Marinobacter nauticus	B	0,6	0,6	0,08	3,5	Extreme	s	m	Gauthier et al 1992 / Tindall 2020	1992	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Methanobacterium petrolearium	A	0	0,68	0	1,2	Tolerant	s	m	Mori and Haeayama 2011	2011	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Methanobacteriota	Methanobacteriati
Methanosalsum zhilinae	A	0,7	0,7	0,20	2,10	No Class	s	m	Mathrani et al. 1988 / Boone and Baker 2002	1988	Methanosalsum	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Nitrincola lacisaponensis	B	0,8	0,8	0,2	1,3	Tolerant	s	m	Dimitriu et al 2005	2005	Nitrincola	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Methylomicrobium japanense	B	0,4	0,8	0,03	1,5	Slight	s	m	Kalyuzhnaya et al 2008	2008	Methylomicrobium	Methylococcaceae	Methylococcales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Rhodovulum strictum	B	0,8	0,8	0,25	3	Slight	s	p	Hiraiashi e Ueda 1995	1995	Rhodovulum	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Methanobacterium aarhusense	A	0,1	0,9	0,05	1	Moderate	s	m	Shlimon et al. 2004	2004	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Methanobacteriota	Methanobacteriati
Amphibacillus cookii	B	0,9	0,9	0,1	4,5	Moderate	Na+	m	Pugin et al 2012	2012	Amphibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Neobacillus mesonae	B	1	1	0	2	Tolerant	s	p	Liu et al 2014 / Patel and Gupta 2020	2014	Neobacillus	Cytobacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Spiribacter roseus	B	0,8	1	0,8	2,2	Moderate	s	m	León et al 2016	2016	Spiribacter	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Thiohalomonas nitratireducens	B	1	1	1	2,5	Moderate	s	m	Sorokin et al 2007	2007	Thiohalomonas	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Flavobacterium tibetense	B	1	1	0	3	Tolerant	s	p	Phurbu et al 2019	2019	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Methylothermus thermalis	B	0,5	1	0	3	Tolerant	s	p	Tsubota et al 2005	2005	Methylothermus	Incertae sedis	Incertae sedis	Incertae sedis	Incertae sedis	Incertae sedis
Psychroflexus gondwanensis	B	1	1	0	3	Moderate	s	m	Dobson et al 1993 / Bowman et al.1998	1993	Psychroflexus	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Tabrizicola alkalilacus	B	0	1	0	3	Tolerant	s	p	Phurbu et al 2019	2019	Tabrizicola	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Mangroviflexus xiamenensis	B	0,5	1	0,2	3,5	Moderate	s	p	Zhao et al 2012	2012	Mangroviflexus	Marinilabiliaceae	Bacteroidales	Bacteroidia	Bacteroidota	Pseudomonadati
Mongoliitalea lutea	B	1	1	0	5,5	Tolerant	s	p	Yang et al 2012	2012	Mongoliitalea	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Lactiplantibacillus brownii	B	0	1	0	6	Slight	s	p	Heng et al 2023	2023	Lactiplantibacillus	Lactobacillaceae	Lactobacillales	Bacilli	Bacillota	Bacillati
Alkalicella caledoniensis	B	0	1	0	7	Tolerant	s	p	Quéméneur et al 2021	2021	Alkalicella	Proteinivoracaceae	Eubacteriales	Clostridia	Bacillota	Bacillati
Anaerobaculum hydrogeniformans	B	1	1	0,8	7	No Class	s	p	Maune and Tanner 2012	2012	Anaerobaculum	Synergistaceae	Synergistales	Synergistia	Synergistota	Thermotogati
Mangrovibacter phragmitis	B	1	1	0	8	Slight	s	p	Behera et al 2017	2017	Mangrovibacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Paucisalibacillus globulus	B	1	1	0	8	Slight	s	p	Nunes et al. 2006	2006	Paucisalibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Pelagibacterium montanilacus	B	0	1	0	8	Tolerant	s	p	Lu et al 2018	2018	Pelagibacterium	Devosiaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Yimella lutea	B	0	1	0	8	Tolerant	s	p	Tang et al 2010	2010	Yimella	Dermacoccaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Tepidibacter mesophilus	B	0,5	1	0	9	Tolerant	s	p	Tan et al 2012	2012	Tepidibacter	Tepidibacteraceae	Eubacteriales	Clostridia	Bacillota	Bacillati
Alkalispirochaeta cellulosivorans	B	1	1	0	10	Tolerant	s	p	Sravanthi et al 2016	2016	Alkalispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetota	Pseudomonadati
Alkalispirochaeta odontotermitis	B	1	1	0	10	Tolerant	s	p	Sravanthi et al 2015 / Sravantthi et al 2016	2015	Alkalispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetota	Pseudomonadati
Microbulbifer guangxiensis	B	1	1	1	10	Tolerant	s	p	Fu et al 2023	2023	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinomonas algicida	B	1	1	1	12	Moderate	s	p	Kristyanto et al 2017	2017	Marinomonas	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Metabacillus indicus	B	0	1	0	12	Tolerant	s	p	Yoon et al 2005 / Patel and Gupta 2020	2005	Metabacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Methanocalculus chunghsingensis	A	1	1	0	12	Tolerant	s	p	Lai et al 2004	2004	Methanocalculus	Methanocalculaceae	Methanomicrobiales	Methanomicrobia	Methanobacteriota	Methanobacteriati
Nesterenkonia alkaliphila	B	1	1	0	12	Tolerant	s	p	Zhang et al 2015	2015	Nesterenkonia	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Marinimicrobium agarilyticum	B	0	1	0	13	Tolerant	s	p	Lim et al 2006	2006	Marinimicrobium	Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Rossellomorea vietnamensis	B	1	1	0	15	Tolerant	s	p	Noguchi et al 2004 / Gupta et al 2020	2004	Rossellomorea	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Thermanaeromonas burensis	B	1	1	0	20	Tolerant	s	g	Gam et al 2016	2016	Thermanaeromonas	Moorellaceae	Moorellales	Clostridia	Bacillota	Bacillati
Fuchsiella ferrireducens	B	1,2	1,2	0,2	2,7	No Class	s	m	Zhilina et al 2015	2015	Fuchsiella	Halobacteroidaceae	Halanaerobiales	Clostridia	Bacillota	Bacillati
Virgibacillus halodenitrificans	B	0,5	1,35	0,35	4,25	Moderate	s	m	Denariaz et al. 1989 / Yoon et al. 2004	1989	Virgibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas israelensis	B	1,369	1,369	0,599	3,425	Moderate	s	m	Ventosa et al. 1998 / Arahal et al. 2002	1998	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas canadensis	B	1,369	1,369	0,514	4,281	Moderate	s	m	Ventosa et al. 1998 / Arahal et al. 2001	1998	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas ventosae	B	1,38	1,38			Moderate	s	m	Martínez-Cánovas et al. 2004	2004	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Natranaerobaculum magadiense	B	1,2	1,4	0	1,55	Tolerant	s	m	Zavarzina et al 2013	2013	Natranaerobaculum	Natranaerobiaceae	Natranaerobiales	Clostridia	Bacillota	Bacillati
Alkalispirochaeta alkalica	B	0,75	1,4	0,51	1,71	No Class	s	m	Zhilina et al 1996 / Sravanthi et al 2016	1996	Alkalispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetota	Pseudomonadati
Ignicoccus hospitalis	A	1,4	1,4	0,5	5	Moderate	s	p	Paper et al 2007	2007	Ignicoccus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Thermoproteota	Thermoproteati
Ruegeria profundi	B	1	1,5	0,5	1,9	Moderate	s	m	Zhang et al 2017	2017	Ruegeria	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Methylohalobius crimeensis	B	1	1,5	0,2	2,5	Moderate	s	m	Heyer et al 2005	2005	Methylohalobius	Methylothermaceae	Methylococcales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Photobacterium frigidiphilum	B	1,5	1,5	1	3	Slight	s	p	Seo et al. 2005	2005	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Hydrogenovibrio halophilus	B	1,5	1,5	0,5	3,5	Moderate	s	m	Sorokin et al. 2006 / Boden et al 2017	2006	Hydrogenovibrio	Piscirickettsiaceae	Beggiatoales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Methanosalsum natronophilum	A	1,5	1,5	0,5	3,5	Tolerant	Na+	m	Sorokin et al 2015	2015	Methanosalsum	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Consotaella salsifontis	B	1,5	1,5	0	7	Slight	s	p	Díaz-Cárdenas et al 2017	2017	Consotaella	Aurantimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Photobacterium halotolerans	B	1,5	1,5	0	8	Tolerant	s	p	Rivas et al 2006	2006	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Mobilitalea sibirica	B	1,5	1,5	0	8,5	Tolerant	s	p	Podosokorskaya et al 2014	2014	Mobilitalea	Lachnospiraceae	Eubacteriales	Clostridia	Bacillota	Bacillati
Defluviimonas aestuarii	B	1	1,5	0	10	Moderate	s	p	Math et al 2013	2013	Defluviimonas	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Marinobacter aromaticivorans	B	0,5	1,5	0,5	10	Tolerant	s	p	Cui et al 2016	2016	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Alkalibacterium pelagium	B	0,5	1,5	0	17	Slight	s	p	Ishikawa et al 2009	2009	Alkalibacterium	Carnobacteriaceae	 Lactobacillales	Bacilli	Bacillota	Bacillati
Roseovarius nitratireducens	B	1,5	1,5	0,5	18	Tolerant	s	p	Shen et al 2018	2018	Roseovarius	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Methanohalophilus mahii	A	2	2	0,3	2,5	Moderate	s	m	Paterek e Smith 1988	1988	Methanohalophilus	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Ruegeria marisrubri	B	1,5	2	0,5	2,6	Moderate	s	m	Zhang et al 2017	2017	Ruegeria	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Marimicrobium arenosum	B	2	2	0	3	Moderate	s	p	Konkit et al 2016	2016	Marimicrobium	Halieaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Soortia roseihalophila	B	2	2	1	3	Slight	s	p	Amoozegar et al 2017	2017	Soortia	Soortiaceae	Balneolales	Balneolia	Balneolota	Pseudomonadati
Thiohalomonas denitrificans	B	1,5	2	1	3	Moderate	s	m	Sorokin et al  2007	2007	Thiohalomonas	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Microbacterium algeriense	B	2	2	0,3	3,5	Tolerant	s	p	Lenchi et al 2020	2020	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Calditerricola satsumensis	B	2	2	0,3	4	Tolerant	s	p	Moriya et al 2011	2011	Calditerricola	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Fonticella tunisiensis	B	0	2	0	4	Tolerant	s	p	Fraj et al 2013	2013	Fonticella	Clostridiaceae	Eubacteriales	Clostridia	Bacillota	Bacillati
Methylohalomonas lacus	B	2	2	0,5	4	Moderate	s	m	Sorokin et al 2007	2007	Methylohalomonas	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Methylonatrum kenyense	B	2	2	0,5	4	Moderate	s	m	Sorokin et al 2007	2007	Methylonatrum	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Nesterenkonia halobia	B	1	2	1	4	Moderate	s	m	Onishi and Kamekura 1972 / Stackebrandt et al 1995	1972	Nesterenkonia	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Parathalassolituus penaei	B	2	2	0	4	No Class	s	p	Chen et al 2023	2023	Parathalassolituus	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Shewanella halifaxensis	B	2	2	0,5	4	Slight	s	p	Zhao et al 2006	2006	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Shewanella sediminis	B	2	2	1	4	Moderate	s	p	Zhao et al 2005	2005	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Thiohalospira alkaliphila	B	2	2	0,5	4	Extreme	s	m	Yu et al 2008	2008	Thiohalospira	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Thiomicrospira sibirica	B	1	2	0	4	No Class	Na+	m	Sorokin et al 2001 / Boden et al 2017	2001	Thiomicrospira	Piscirickettsiaceae	Beggiatoales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Thioprofundum hispidum	B	2	2	1	4	Moderate	s	p	Mori et al 2011	2011	Thioprofundum	Thioprofundaceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Haloarchaeobius salinus	A	2	2	1,4	4,8	No Class	s	m	Yuan et al 2015	2015	Haloarchaeobius	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorussus amylolyticus	A	2	2	1,4	4,8	No Class	s	m	Yuan et al 2015	2015	Halorussus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Actibacterium naphthalenivorans	B	2	2	1	5	Moderate	s	p	Jeong et al 2015 / Hördt et al 2020	2015	Actibacterium	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Aminobacterium thunnarium	B	2	2	1	5	Slight	s	p	Hamdi et al 2015	2015	Aminobacterium	Synergistaceae	Synergistales	Synergistia	Synergistota	Thermotogati
Cellulophaga baltica	B	2	2	1	5	Slight	Marine salts	p	Johansen et al 1999	1999	Cellulophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Desulfobaculum bizertense	B	2	2	0,5	5	Slight	s	p	Haouari et al 2006	2006	Desulfobaculum	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Desulfonauticus submarinus	B	2	2	0	5	Slight	s	p	Audiffrin et al 2003	2003	Desulfonauticus	Desulfohalobiaceae	Desulfovibrionales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Dethiosulfovibrio marinus	B	2	2	0,5	5	Slight	s	p	Surkov et al 2001	2001	Dethiosulfovibrio	Dethiosulfovibrionaceae	Synergistales	Synergistia	Synergistota	Thermotogati
Dethiosulfovibrio russensis	B	2	2	0,5	5	Slight	s	p	Surkov et al 2001	2001	Dethiosulfovibrio	Dethiosulfovibrionaceae	Synergistales	Synergistia	Synergistota	Thermotogati
Endozoicomonas numazuensis	B	2	2	1	5	Slight	s	p	Nishjima et al 2013	2013	Endozoicomonas	Endozoicomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
