Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Mesophilobacter marinus	B	7	7			Moderate	Sais totais	p	Nishimura et al. 1989	1989	Mesophilobacter	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Sediminibacillus dalangtanensis	B	7,2	7,2	0	21,6	Moderate	s	p	Huang et al 2022	2022	Sediminibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Oceanobacillus limi	B	7,5	7,5	2,5	10	Moderate	s	p	Amoozegar et al 2014	2014	Oceanobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Alkalispirochaeta sphaeroplastigenens	B	5	7,5	0	12	No Class	s	p	Vishnuvardhan et al 2013 / Sravanthi et aal 2016	2013	Alkalispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetota	Pseudomonadati
Aliicoccus persicus	B	7,5	7,5	0,5	12,5	Moderate	s	p	Amoozegar et al 2014	2014	Aliicoccus	Staphylococcaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Alteribacillus bidgolensis	B	5	7,5	0,5	12,5	Moderate	s	p	Didari et al 2012	2012	Alteribacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Ornithinibacillus halophilus	B	5	7,5	0,5	12,5	Moderate	s	p	Bagheri et al 2013	2013	Ornithinibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Alcanivorax dieselolei	B	3	7,5	1	15	No Class	s	p	Lio and Shao 2005 / Rai et al 2023	2005	Alcanivorax	Alcanivoracaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Alkaliphilus halophilus	B	7,5	7,5	0,5	15	Moderate	s	p	Wu et al 2010	2010	Alkaliphilus	Clostridiaceae	Eubacteriales	Clostridia	Bacillota	Bacillati
Alteribacillus iranensis	B	5	7,5	2,5	15	Moderate	s	p	Bagheri et al 2012 / Begum et al 2016	2012	Alteribacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas anticariensis	B	7,5	7,5	0,5	15	Moderate	s	p	Tahrioui et al. 2011	2011	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas saccharevitans	B	3	7,5	0,5	15	Moderate	s	p	Xu et al 2007	2007	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Idiomarina aquatica	B	7,5	7,5	3	15	Moderate	s	p	León et al 2015	2015	Idiomarina	Idiomarinaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinobacter lacisalsi	B	7,5	7,5	3	15	Moderate	s	p	Aguilera et al 2009	2009	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinobacter lipolyticus	B	7,5	7,5	1	15	Moderate	s	p	Pérez et al. 2012/ Martín et al. 2003	2003	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinobacter oulmenensis	B	5	7,5	1	15	Moderate	s	p	Kharroub et al 2011	2011	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Oceanobacillus halophilus	B	7,5	7,5	3	15	Moderate	s	p	Amoozegar et al 2016	2016	Oceanobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Aquisalimonas lutea	B	7,5	7,5	5	20	Moderate	Salts	p	Infante-Domínguez et al 2015	2015	Aquisalimonas	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas eurihalina	B	7,5	7,5	1,5	20	Moderate	s	p	Quesada et al. 1990 / Mellado et al. 1995	1990	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas fontilapidosi	B	5	7,5	3	20	Moderate	s	p	González-Domenech et al 2009	2009	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas hamiltonii	B	5	7,5	0	20	No Class	Sea salts	p	Kim et al 2010	2010	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas lutescens	B	7,5	7,5	0	20	Moderate	s	p	Wang et al 2016	2016	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas nitroreducens	B	5	7,5	3	20	Moderate	s	p	González-Domenech et al 2008	2008	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas rifensis	B	5	7,5	0,5	20	Moderate	Sea salts	p	Amjres et al 2011	2011	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas stevensii	B	3	7,5	0	20	No Class	Sea salt	p	Kim et al 2010	2010	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas urmiana	B	7,5	7,5	0,5	20	Moderate	s	p	Khan et al 2020	2020	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Sediminibacillus halophilus	B	5	7,5	0	20	Moderate	s	p	Carrasco et al. 2008	2008	Sediminibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Saliterribacillus persicus	B	7,5	7,5	0,5	22,5	Moderate	s	p	Amoozegar et al 2013	2013	Saliterribacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Chromohalobacter nigrandesensis	B	7,5	7,5	0,5	25	Moderate	Total salts	p	Prado et al. 2006	2006	Chromohalobacter	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas almeriensis	B	7,5	7,5	5	25	Moderate	Sea salts	p	Martínez-Checa et al 2005	2005	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas sabkhae	B	7,5	7,5	5	25	Moderate	s	p	Kharroub et al 2008	2008	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinobacter denitrificans	B	7,5	7,5	3	25	No Class	s	p	Zhang et al 2020	2020	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Salinicola endophyticus	B	7,5	7,5	0	25	Moderate	s	p	Fidalgo et al 2019	2019	Salinicola	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas ramblicola	B	5	7,5	1	30	Moderate	s	p	Luque et al 2012	2012	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Salinicola lusitanus	B	5	7,5	0	30	Moderate	s	p	Fidalgo et al 2019	2019	Salinicola	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Croceibacterium salegens	B	3	8	2	10	Slight	s	p	Liang et al 2017 / Xu et al 2020	2017	Croceibacterium	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Oceaniglobus indicus	B	7	8	0,5	10	Tolerant	s	p	Li et al 2017	2017	Oceaniglobus	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Pseudodesulfovibrio profundus	B	0,6	8	0,2	10	Moderate	s	p	Bale et al. 1997 / Cao et al 2016	1997	Pseudodesulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
