"isolado"	"conc"	"sob"	"erro"
"D7.15.010-6"	3	0,0032	0,00025347772828708
"D7.15.010-6"	4	8e-04	6,31494065056587e-05
"D7.15.R2A-6"	0	1	0,0978992568137357
"D7.15.R2A-6"	0,5	0,8931	0,0829816197923929
"D7.15.R2A-6"	1	0,1212	0,0158359547887707
"D7.15.R2A-6"	1,5	0,013	0,000826891690621183
"D7.15.R2A-6"	2	0,0107	0,000851372877420695
"D7.15.R2A-6"	3	1e-04	2,70945512009619e-05
"D7.15.R2A-6"	4	0	2,840046113291e-06
"D4.15.R2A-5"	0	1	0,0995146954692456
"D4.15.R2A-5"	0,5	1,0986	0,0747049806856177
"D4.15.R2A-5"	1	0,1015	0,00841058820291673
"D4.15.R2A-5"	1,5	0,017	0,00468185568890205
"D4.15.R2A-5"	2	0,0083	0,000576841121668893
"D4.15.R2A-5"	3	0	2,08231233503489e-06
"D4.15.R2A-5"	4	0	1,92873406993293e-05
"D23.15.010-1"	0	1	0,11269620964659
"D23.15.010-1"	0,5	1,9049	0,17330540164694
"D23.15.010-1"	1	0,5544	0,0941760015044433
"D23.15.010-1"	1,5	0,0017	0,000142164539875497
"D23.15.010-1"	2	0,0014	0,000128067951103565
"D23.15.010-1"	3	7e-04	0,000108616504545692
"D23.15.010-1"	4	1e-04	1,43168886859842e-05
"D8.15.R2A-3"	0	1	0,0699821189056006
"D8.15.R2A-3"	0,5	0,6909	0,0629912628169149
"D8.15.R2A-3"	1	0,0312	0,0045165478909998
"D8.15.R2A-3"	1,5	0,0012	0,00010913055956799
"D8.15.R2A-3"	2	5e-04	0,000106700501538547
"D8.15.R2A-3"	3	8e-04	0,00013410930787305
"D8.15.R2A-3"	4	4e-04	0,000108653260844262
"italic('E. coli')*textstyle(' MG1655')"	0	1	0,174111649543802
"italic('E. coli')*textstyle(' MG1655')"	0,5	1,8038	0,486444890107171
"italic('E. coli')*textstyle(' MG1655')"	1	0,3874	0,114146108030927
"italic('E. coli')*textstyle(' MG1655')"	1,5	1e-04	5,06741660961623e-05
"italic('E. coli')*textstyle(' MG1655')"	2	0	4,61592945286819e-06
"italic('E. coli')*textstyle(' MG1655')"	3	0	1,56864033760534e-06
"italic('E. coli')*textstyle(' MG1655')"	4	0	2,42798604284903e-07
