Isolado	Conc	UFC1	UFC2	UFC3	diluicao	Replicata
D7.15.010-6	3	21	8	8	1,00E+03	1
D7.15.010-6	4	39	46	50	1,00E+02	1
D7.15.R2A-6	0	34	35	32	1,00E+06	1
D7.15.R2A-6	0,5	31	30	25	1,00E+06	1
D7.15.R2A-6	1	11	14	15	1,00E+05	1
D7.15.R2A-6	1,5	7	8	7	1,00E+05	1
D7.15.R2A-6	2	43	49	46	1,00E+04	1
D7.15.R2A-6	3	4	3	0	1,00E+01	1
D7.15.R2A-6	4	0	0	0	1,00E+00	1
D4.15.R2A-5	0	36	30	21	1,00E+06	1
D4.15.R2A-5	0,5	27	28	30	1,00E+06	1
D4.15.R2A-5	1	24	29	26	1,00E+04	1
D4.15.R2A-5	1,5	22	27	19	1,00E+04	1
D4.15.R2A-5	2	15	17	14	1,00E+04	1
D4.15.R2A-5	3	10	9	10	1,00E+02	1
D4.15.R2A-5	4	0	0	0	1,00E+00	1
D23.15.010-1	0	25	14	29	1,00E+05	1
D23.15.010-1	0,5	33	37	46	1,00E+05	1
D23.15.010-1	1	23	15	24	1,00E+05	1
D23.15.010-1	1,5	30	29	22	1,00E+02	1
D23.15.010-1	2	11	7	11	1,00E+02	1
D23.15.010-1	3	0	0	0	1,00E+00	1
D23.15.010-1	4	19	34	26	1,00E+00	1
D8.15.R2A-3	0	5	6	8	1,00E+06	1
D8.15.R2A-3	0,5	7	7	7	1,00E+06	1
D8.15.R2A-3	1	9	9	9	1,00E+04	1
D8.15.R2A-3	1,5	14	13	11	1,00E+03	1
D8.15.R2A-3	2	7	8	12	1,00E+03	1
D8.15.R2A-3	3	9	15	9	1,00E+03	1
D8.15.R2A-3	4	5	7	11	1,00E+03	1
E. coli MG1655	0	19	23	23	1,00E+06	1
E. coli MG1655	0,5	19	27	25	1,00E+06	1
E. coli MG1655	1	36	30	25	1,00E+05	1
E. coli MG1655	1,5	23	22	23	1,00E+02	1
E. coli MG1655	2	7	8	9	1,00E+02	1
E. coli MG1655	3	7	2	3	1,00E+01	1
E. coli MG1655	4	0	0	0	1,00E+01	1
D14.30.010-1	0	2	2	6	1,00E+05	2
D14.30.010-1	0,5	14	5	15	1,00E+04	2
D14.30.010-1	1	11	10	6	1,00E+02	2
D14.30.010-1	1,5	15	9	19	1,00E+02	2
D14.30.010-1	2	11	22	20	1,00E+02	2
D14.30.010-1	3	19	23	22	1,00E+02	2
D14.30.010-1	4	5	7	10	1,00E+02	2
D4.30.R2A-4	0	25	30	24	1,00E+06	2
D4.30.R2A-4	0,5	23	25	23	1,00E+06	2
D4.30.R2A-4	1	7	9	9	1,00E+05	2
D4.30.R2A-4	1,5	24	20	27	1,00E+04	2
D4.30.R2A-4	2	20	13	23	1,00E+04	2
D4.30.R2A-4	3	12	4	14	1,00E+01	2
D4.30.R2A-4	4	13	10	19	1,00E+00	2
D20.30.010-2	0	7	8	7	1,00E+05	2
D20.30.010-2	0,5	12	8	7	1,00E+04	2
D20.30.010-2	1	4	3	4	1,00E+03	2
D20.30.010-2	1,5	7	4	9	1,00E+03	2
D20.30.010-2	2	4	4	5	1,00E+02	2
D20.30.010-2	3	13	10	10	1,00E+02	2
D20.30.010-2	4	4	0	4	1,00E+02	2
D23.30.010-1	0	47	39	39	1,00E+05	2
D23.30.010-1	0,5	7	9	10	1,00E+06	2
D23.30.010-1	1	15	18	17	1,00E+05	2
D23.30.010-1	1,5	13	4	10	1,00E+03	2
D23.30.010-1	2	10	19	13	1,00E+02	2
D23.30.010-1	3	38	63	45	1,00E+02	2
D23.30.010-1	4	54	43	43	1,00E+00	2
D4.30.100-3	0	29	27	24	1,00E+06	2
D4.30.100-3	0,5	20	26	21	1,00E+06	2
D4.30.100-3	1	103	103	87	1,00E+05	2
D4.30.100-3	1,5	26	28	31	1,00E+04	2
D4.30.100-3	2	24	21	30	1,00E+04	2
D4.30.100-3	3	26	20	18	1,00E+03	2
D4.30.100-3	4	2	12	6	1,00E+01	2
D21.30.010-2	0	20	15	21	1,00E+06	2
D21.30.010-2	0,5	12	9	4	1,00E+06	2
D21.30.010-2	1	21	22	20	1,00E+03	2
D21.30.010-2	1,5	23	26	21	1,00E+01	2
D21.30.010-2	2	0	0	0	1,00E+00	2
D21.30.010-2	3	0	0	0	1,00E+00	2
D21.30.010-2	4	0	0	0	1,00E+00	2
D23.30.010-3	0	9	11	13	1,00E+06	2
D23.30.010-3	0,5	49	53	50	1,00E+05	2
D23.30.010-3	1	10	18	14	1,00E+05	2
D23.30.010-3	1,5	11	9	15	1,00E+03	2
D23.30.010-3	2	12	11	12	1,00E+03	2
D23.30.010-3	3	6	8	7	1,00E+03	2
D23.30.010-3	4	37	29	24	1,00E+02	2
D4.30.R2A-2	0	26	33	17	1,00E+06	2
D4.30.R2A-2	0,5	25	21	19	1,00E+06	2
D4.30.R2A-2	1	6	18	8	1,00E+05	2
D4.30.R2A-2	1,5	33	27	30	1,00E+04	2
D4.30.R2A-2	2	18	29	30	1,00E+04	2
D4.30.R2A-2	3	18	9	9	1,00E+03	2
D4.30.R2A-2	4	18	19	21	1,00E+01	2
D7.30.100-9	0	79	82	96	1,00E+02	2
D7.30.100-9	0,5	10	14	15	1,00E+04	2
D7.30.100-9	1	16	14	18	1,00E+03	2
D7.30.100-9	1,5	25	16	26	1,00E+02	2
D7.30.100-9	2	14	17	18	1,00E+02	2
D7.30.100-9	3	9	22	32	1,00E+02	2
D7.30.100-9	4	17	23	4	1,00E+02	2
D14.30.010-5	0	18	19	19	1,00E+04	2
D14.30.010-5	0,5	10	17	16	1,00E+04	2
D14.30.010-5	1	28	31	23	1,00E+02	2
