"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"LD37"	4514,51719767899	352,511068098097	12,8067388693245	4,1040431068774e-06
"n"	2,32543908081861	0,320525484627937	7,25508326901981	0,000169184964576108
