"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"LD10"	4758,53178327506	376,275337266185	12,6464089245073	1,49794088989728e-05
"n"	2,02237081308619	0,134356097936168	15,0523187570319	5,41847088239801e-06
