"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"LD10"	261,283509145367	3,83800511508566	68,0779470872422	2,41251457003817e-12
"n"	3,97730755471496	0,0800807940406856	49,6661852865028	2,98998565018118e-11
"f"	0,00311493656862101	0,000208337038097278	14,9514296500969	3,95154132620935e-07
