"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"LD10"	9237,72330239158	1295,90943598026	7,1283710465492	0,00018890141867405
"n"	2,32543672476233	0,320525022374782	7,25508638150332	0,000169184509652133
