"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"LD50"	3591,00063013293	274,982394813009	13,0590201331792	3,59771940701982e-06
"n"	2,32543653930736	0,320524920170212	7,25508811630764	0,000169184256091846
