"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"LD50"	1605,57070579425	63,1501341592701	25,4246602508376	2,4391512750516e-07
"n"	2,0223720720471	0,13435623031137	15,0523132969737	5,4184824089621e-06
