"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"LD10"	1314,54526345799	39,8092406586941	33,021108710118	4,78726692606837e-07
"n"	3,33288424419894	0,129459259013579	25,7446571963567	1,65147964028145e-06
