"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"LD37"	7229,08605011555	286,671325145967	25,2173322407975	1,16575576967889e-09
"n"	3,32924264906786	0,38193594499848	8,71675654691551	1,10823979048187e-05
