"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"LD37"	2088,91275754549	86,8986479332422	24,0384955028327	3,40472743227374e-07
"n"	2,02237297247695	0,134356322346372	15,0523096878407	5,41849002810972e-06
