Experimento	Dia	Live avg	Live std	Dead avg	Dead std	% Live avg	% Live std	% Dead avg	% Dead std
Controle	0	765,5	15,16245363	39,66666667	15,0155475	95,07%	0,01864785957	4,93%	0,01864785957
14 dias	14	544,3333333	48,75790534	260,6666667	44,83674089	67,60%	0,05739834492	32,40%	0,0574547068
28 dias	28	256,333	52,48174286	546,667	48,58326186	31,90%	0,06397205119	68,10%	0,06397205119
