Experimento	Erlen	Dia	Avg DO	DO Std
120 dias	B	9	0,0711	0,01059821788
120 dias	B	12	0,0849	0,01280147561
120 dias	B	15	0,1496	0,02209172796
120 dias	B	18	0,2447	0,04210318014
120 dias	B	21	0,3176	0,05443487444
120 dias	B	24	0,3872	0,0840777418
120 dias	B	27	0,5195	0,04399052928
120 dias	B	30	0,7302	0,04543077762
120 dias	B	33	1,1029	0,06607647085
120 dias	B	36	1,3512	0,07128627731
120 dias	B	39	1,4915	0,05728146879
120 dias	B	42	1,5404	0,06647672943
120 dias	B	45	1,5537	0,06147637306
120 dias	B	48	1,5797	0,04263814151
120 dias	C	0	0,0501	0,00703088425
120 dias	C	3	0,0504	0,00602218122
120 dias	C	6	0,0664	0,01060607792
120 dias	C	9	0,0797	0,01109604534
120 dias	C	12	0,1409	0,02111055555
120 dias	C	15	0,2166	0,0524217936
120 dias	C	18	0,3659	0,08411163217
120 dias	C	21	0,4175	0,02874118222
120 dias	C	24	0,5981	0,02980100669
120 dias	C	27	0,8702	0,03551462922
120 dias	C	30	1,1383	0,04696109501
120 dias	C	33	1,3424	0,06986367678
120 dias	C	36	1,3909	0,04672484469
120 dias	C	39	1,4369	0,05705056237
120 dias	C	42	1,456	0,07796295417
120 dias	C	45	1,4143	0,0855804365
120 dias	C	48	1,4018	0,0645958375
